question_id,harmonized_category,count,percentage,percentage_of_all_participants
affiliation,PhD candidate,14,38.89,38.89
affiliation,University employee,9,25.0,25.0
affiliation,Employee,2,5.56,5.56
affiliation,Master Student,2,5.56,5.56
affiliation,Research associate,2,5.56,5.56
affiliation,Bachelor Student,1,2.78,2.78
affiliation,Employee Research,1,2.78,2.78
affiliation,"Employee, LIS",1,2.78,2.78
affiliation,LIS employee,1,2.78,2.78
affiliation,LISER employee,1,2.78,2.78
affiliation,Postdoctoral student,1,2.78,2.78
affiliation,Working at Emile Weber,1,2.78,2.78
age,26,4,11.11,11.11
age,27,4,11.11,11.11
age,29,4,11.11,11.11
age,38,3,8.33,8.33
age,25,2,5.56,5.56
age,28,2,5.56,5.56
age,42,2,5.56,5.56
age,52,2,5.56,5.56
age,20,1,2.78,2.78
age,24,1,2.78,2.78
age,31,1,2.78,2.78
age,32,1,2.78,2.78
age,33,1,2.78,2.78
age,34,1,2.78,2.78
age,35,1,2.78,2.78
age,36,1,2.78,2.78
age,37,1,2.78,2.78
age,45,1,2.78,2.78
age,49,1,2.78,2.78
age,58,1,2.78,2.78
age,63,1,2.78,2.78
country_of_birth,Germany,7,19.44,19.44
country_of_birth,Italy,5,13.89,13.89
country_of_birth,Luxembourg,4,11.11,11.11
country_of_birth,Brazil,3,8.33,8.33
country_of_birth,France,3,8.33,8.33
country_of_birth,Iran,2,5.56,5.56
country_of_birth,Lebanon,2,5.56,5.56
country_of_birth,Albania,1,2.78,2.78
country_of_birth,Chile,1,2.78,2.78
country_of_birth,Colombia,1,2.78,2.78
country_of_birth,Non-EU,1,2.78,2.78
country_of_birth,Poland,1,2.78,2.78
country_of_birth,Portugal,1,2.78,2.78
country_of_birth,Romania,1,2.78,2.78
country_of_birth,UK,1,2.78,2.78
country_of_birth,USA,1,2.78,2.78
country_of_birth,Uruguay,1,2.78,2.78
country_secondary_ed,Germany,7,19.44,19.44
country_secondary_ed,France,4,11.11,11.11
country_secondary_ed,Italy,4,11.11,11.11
country_secondary_ed,Luxembourg,3,8.33,8.33
country_secondary_ed,Brazil,2,5.56,5.56
country_secondary_ed,Lebanon,2,5.56,5.56
country_secondary_ed,Netherlands,2,5.56,5.56
country_secondary_ed,Albania,1,2.78,2.78
country_secondary_ed,Belgium,1,2.78,2.78
country_secondary_ed,Chile,1,2.78,2.78
country_secondary_ed,Colombia,1,2.78,2.78
country_secondary_ed,Iran,1,2.78,2.78
country_secondary_ed,Luxembourg And Albania,1,2.78,2.78
country_secondary_ed,Poland,1,2.78,2.78
country_secondary_ed,Portugal,1,2.78,2.78
country_secondary_ed,Romania,1,2.78,2.78
country_secondary_ed,UK,1,2.78,2.78
country_secondary_ed,Uruguay,1,2.78,2.78
country_secondary_ed,Uzbekistan,1,2.78,2.78
degree_field,Economics,12,33.33,33.33
degree_field,Political Science,2,5.56,5.56
degree_field,Psychology,2,5.56,5.56
degree_field,"Chinese, French Language And Cultre",1,2.78,2.78
degree_field,Communication And Cognition,1,2.78,2.78
degree_field,Computer Engineering,1,2.78,2.78
degree_field,Data Science,1,2.78,2.78
degree_field,Economic-Law,1,2.78,2.78
degree_field,Engineering,1,2.78,2.78
degree_field,Geoarchaeology,1,2.78,2.78
degree_field,Geography,1,2.78,2.78
degree_field,High school,1,2.78,2.78
degree_field,History,1,2.78,2.78
degree_field,Humanities European History,1,2.78,2.78
degree_field,Linguistics And Literature,1,2.78,2.78
degree_field,Media Studies,1,2.78,2.78
degree_field,None,1,2.78,2.78
degree_field,Political Sciences,1,2.78,2.78
degree_field,Secretaria,1,2.78,2.78
degree_field,Social Sciences And Educational Sciences,1,2.78,2.78
degree_field,Sociology,1,2.78,2.78
degree_field,Sound Engineering,1,2.78,2.78
degree_field,Technique Generale,1,2.78,2.78
department_unit,UDM,6,16.67,16.67
department_unit,Economics,2,5.56,5.56
department_unit,FHSE,2,5.56,5.56
department_unit,Labour Market,2,5.56,5.56
department_unit,Living Conditions,2,5.56,5.56
department_unit,Media Centre,2,5.56,5.56
department_unit,Psychology,2,5.56,5.56
department_unit,Social Sciences,2,5.56,5.56
department_unit,Administration Media Centre,1,2.78,2.78
department_unit,C2DH,1,2.78,2.78
department_unit,Cognitive And Behavioral Sciences,1,2.78,2.78
department_unit,Data,1,2.78,2.78
department_unit,Decanat,1,2.78,2.78
department_unit,Engineering,1,2.78,2.78
