omitted_question_id,robust_variant,robust_se_label,n_trials,n_participants,n_questions,condition_beta,condition_se,condition_stat,condition_p_value,condition_ci_low,condition_ci_high,warning_count,warnings
2017_CH_47,two_way_cluster,Two-way cluster (participant + question),1039,36,29,3.800205168907202e-08,2.3871882341808108e-08,1.5919168478187826,0.12263164933853478,-1.0897282587983483e-08,8.690138596612753e-08,0,
2017_CH_68,two_way_cluster,Two-way cluster (participant + question),1039,36,29,2.7434280159667725e-08,2.3280249798428854e-08,1.1784358156465837,0.24854112669670536,-2.025314979021123e-08,7.512171010954667e-08,0,
2017_CH_69,two_way_cluster,Two-way cluster (participant + question),1039,36,29,3.2304115473170177e-08,2.4412544803860083e-08,1.3232588299464088,0.19645379500017035,-1.7702715652453195e-08,8.231094659879355e-08,0,
2017_CH_75,two_way_cluster,Two-way cluster (participant + question),1039,36,29,2.702229935390082e-08,2.3250816329536926e-08,1.1622086283298685,0.2549615992853889,-2.06048388680921e-08,7.464943757589374e-08,0,
2018_CH_77,two_way_cluster,Two-way cluster (participant + question),1039,36,29,3.3102411243634664e-08,2.3212884425566118e-08,1.4260361029143132,0.1649127244408255,-1.4447026995362563e-08,8.065184948263189e-08,0,
2018_LC_44,two_way_cluster,Two-way cluster (participant + question),1039,36,29,2.8205978368899625e-08,2.5110921807937378e-08,1.1232553939929009,0.27086806997583057,-2.3231413199541243e-08,7.964336993734049e-08,0,
2019_CH_56,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.8848236192954043e-08,2.266734726124734e-08,0.8315148647842642,0.41271814032022214,-2.7583719822537873e-08,6.528019220844596e-08,0,
2019_CH_64,two_way_cluster,Two-way cluster (participant + question),1039,36,29,2.996437484564228e-08,2.3760695204861955e-08,1.2610899886258764,0.21768303735428118,-1.8707202906016955e-08,7.863595259730151e-08,0,
2019_CH_65,two_way_cluster,Two-way cluster (participant + question),1039,36,29,3.308161135486847e-08,2.343580700716531e-08,1.4115840493461154,0.1690890771695816,-1.4924463092343976e-08,8.108768580208092e-08,0,
2020_CH_56,two_way_cluster,Two-way cluster (participant + question),1039,36,29,2.7725371111809442e-08,2.497267318840298e-08,1.1102284045700315,0.27634448458056693,-2.342883099703383e-08,7.88795732206527e-08,0,
2020_CH_59,two_way_cluster,Two-way cluster (participant + question),1039,36,29,3.345307152666621e-08,2.3290578556414852e-08,1.4363349302652824,0.16198683720539384,-1.4255515924837138e-08,8.116165897816956e-08,0,
2020_CH_70,two_way_cluster,Two-way cluster (participant + question),1040,36,29,2.8648677601277366e-08,2.4226036765041038e-08,1.1825573402339726,0.24692954100870296,-2.0976109125626848e-08,7.827346432818158e-08,0,
