omitted_participant_id,robust_variant,robust_se_label,n_trials,n_participants,n_questions,condition_beta,condition_se,condition_stat,condition_p_value,condition_ci_low,condition_ci_high,warning_count,warnings
PID001,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.992455556830005e-08,2.4613328096691764e-08,1.2157866441605742,0.2338708257163842,-2.0415352646591647e-08,8.026446378319175e-08,0,
PID002,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.013527830380036e-08,2.386010645232638e-08,1.2629984851078542,0.2166505658210297,-1.866411867693932e-08,7.893467528454004e-08,0,
PID003,two_way_cluster,Two-way cluster (participant + question),1045,35,30,4.11873976216111e-08,2.165760894607547e-08,1.9017518380797331,0.06717969595767902,-3.107386172620861e-09,8.548218141584306e-08,0,
PID004,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.7459212025985736e-08,2.424151673850747e-08,1.1327348994779267,0.26660438044844637,-2.2120256577865826e-08,7.70386806298373e-08,0,
PID005,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.6054536011487734e-08,2.3229420871587804e-08,1.1216179755628504,0.2712266213630712,-2.1454964124659736e-08,7.35640361476352e-08,0,
PID007,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.145214034782259e-08,2.443124353081256e-08,1.2873736986885385,0.20814413660469536,-1.8515363115558095e-08,8.141964381120328e-08,0,
PID008,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.2892459509793e-08,2.4806948866933912e-08,1.3259373285376728,0.19521020837901107,-1.784344764373051e-08,8.362836666331651e-08,0,
PID009,two_way_cluster,Two-way cluster (participant + question),1048,35,30,3.4158793041391395e-08,2.4057787869464234e-08,1.4198642546328226,0.16630868169762275,-1.504490783337742e-08,8.336249391616021e-08,0,
PID010,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.9815710032726204e-08,2.4110504613510504e-08,1.2366273751076426,0.22614719859901133,-1.949580868960277e-08,7.912722875505517e-08,0,
PID011,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.2423347564441024e-08,2.424575381409183e-08,1.3372794186170573,0.19152657821309219,-1.7164786831991627e-08,8.201148196087368e-08,0,
PID012,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.969272136648879e-08,2.3911966245020534e-08,1.241751559124589,0.2242778211269626,-1.921274079950383e-08,7.859818353248141e-08,0,
PID013,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.125028104966554e-08,2.4243215320498834e-08,1.2890320296434394,0.20757479991986913,-1.8332661544424356e-08,8.083322364375542e-08,0,
PID014,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.037346343325573e-08,2.2695987899495613e-08,1.3382745693978244,0.191205962318568,-1.6045043776277843e-08,7.67919706427893e-08,0,
PID015,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.556724946267001e-08,2.4204346274740534e-08,1.4694571404222436,0.15247480138287317,-1.3936197006873593e-08,8.507069593221361e-08,0,
PID016,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.784584054622032e-08,2.3932805092354332e-08,1.1635009117721875,0.25411045468993765,-2.1102241848047263e-08,7.679392294048789e-08,0,
PID017,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.5962635001051514e-08,2.265505158146517e-08,1.587400270166399,0.12326691922671491,-1.037214803740642e-08,8.229741803950945e-08,0,
PID018,two_way_cluster,Two-way cluster (participant + question),1047,35,30,3.2160517233820475e-08,2.3861096992299255e-08,1.3478222415423613,0.18815100064272805,-1.6640905628633445e-08,8.09619400962744e-08,0,
PID019,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.8203322662526845e-08,2.3035307151706783e-08,1.2243519253632849,0.2306730088704824,-1.890917033977531e-08,7.5315815664829e-08,0,
PID020,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.881190520214144e-08,2.2371135565099118e-08,1.2879053509957032,0.20796148059831776,-1.6942204383768413e-08,7.45660147880513e-08,0,
PID021,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.234593019055544e-08,2.248575134189268e-08,1.4385078665480255,0.16099570386833248,-1.364259497950867e-08,7.833445536061955e-08,0,
PID022,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.985188727796587e-08,2.3712839170513917e-08,1.2588913146716587,0.2181094521231097,-1.864631429269465e-08,7.835008884862639e-08,0,
PID023,two_way_cluster,Two-way cluster (participant + question),1045,35,30,3.169395503449073e-08,2.455101914151188e-08,1.2909425409921693,0.2069203594419417,-1.8518517058296748e-08,8.190642712727822e-08,0,
PID024,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.9581562394009134e-08,2.330262528585794e-08,1.2694519193063538,0.21437322120863705,-1.8077657580138574e-08,7.724078236815684e-08,0,
PID025,two_way_cluster,Two-way cluster (participant + question),1045,35,30,2.7673923902944387e-08,2.4070294863271486e-08,1.1497127085539622,0.25965578855813853,-2.1555356646292992e-08,7.690320445218177e-08,0,
