omitted_question_id,robust_variant,robust_se_label,n_trials,n_participants,n_questions,abstractness_beta,abstractness_se,abstractness_stat,abstractness_p_value,abstractness_ci_low,abstractness_ci_high
2017_CH_47,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.620974957444578e-08,1.3151330719143626e-08,1.2325558470558566,0.22799097637435248,-1.0729530194759205e-08,4.314902934365077e-08
2017_CH_68,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.0618954834676969e-08,1.209264392730969e-08,0.8781334254534211,0.3873446720819299,-1.4151703349211089e-08,3.538961301856503e-08
2017_CH_69,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.406973908647555e-08,1.2838259807173936e-08,1.0959226014894534,0.28244968461154873,-1.2228243990762373e-08,4.0367722163713475e-08
2017_CH_75,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.2328678031391189e-08,1.2372233555979406e-08,0.996479574654718,0.32755135804825397,-1.3014693544635797e-08,3.767204960741817e-08
2018_CH_77,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.8076341667937325e-08,1.2010764882002213e-08,1.5050116995483116,0.1435192913509549,-6.526594894779519e-09,4.267927823065417e-08
2018_LC_44,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.1845706621691238e-08,1.3678584996396328e-08,0.8660038026456707,0.3938482516067098,-1.6173604574580273e-08,3.986501781796275e-08
2019_CH_56,two_way_cluster,Two-way cluster (participant + question),1039,36,29,7.435176252207892e-09,1.2284799343958548e-08,0.6052338376909985,0.5498980336241304,-1.7729094459478326e-08,3.259944696389411e-08
2019_CH_64,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.2984459220351897e-08,1.2660123823328059e-08,1.025618659149779,0.31385081378044133,-1.294862883536541e-08,3.89175472760692e-08
2019_CH_65,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.44907003998369e-08,1.2320763836601414e-08,1.1761202951386207,0.2494499302558033,-1.0747240235430009e-08,3.972864103510381e-08
2020_CH_56,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.1903494603417475e-08,1.3227961024717545e-08,0.8998737281713187,0.3758619919027746,-1.5192755231003077e-08,3.899974443783803e-08
2020_CH_59,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.4348737546930564e-08,1.2322150103685099e-08,1.164467031012663,0.2540608191111233,-1.0892042727731e-08,3.958951782159213e-08
2020_CH_70,two_way_cluster,Two-way cluster (participant + question),1040,36,29,1.2580142644192614e-08,1.2730614706206624e-08,0.988180298792591,0.33152732872683954,-1.3497339439444598e-08,3.865762472782983e-08
2020_CH_76,two_way_cluster,Two-way cluster (participant + question),1039,36,29,8.586355925582828e-09,1.2014218659099707e-08,0.7146828411583322,0.48072165185212024,-1.602365537880669e-08,3.3196367229972346e-08
2020_CH_77,two_way_cluster,Two-way cluster (participant + question),1040,36,29,1.2594435524192935e-08,1.3609415422566157e-08,0.9254207571112676,0.3626548851689001,-1.528318822304992e-08,4.047205927143579e-08
2020_CH_78,two_way_cluster,Two-way cluster (participant + question),1040,36,29,1.3213384883646366e-08,1.2635347706918241e-08,1.045747627222924,0.30462185850347434,-1.2668951598271122e-08,3.909572136556385e-08
2020_CH_82,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.79243966378641e-08,1.1695170001803394e-08,1.5326324145010428,0.13658867061118662,-6.03207311833947e-09,4.188086639406767e-08
2020_CH_84,two_way_cluster,Two-way cluster (participant + question),1040,36,29,1.2642088521725111e-08,1.2574821911065903e-08,1.0053493092097006,0.3233383027664598,-1.3116266487705603e-08,3.8400443531155824e-08
2020_LC_31,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.2374081698267237e-08,1.281019714417193e-08,0.9659556023223963,0.34233600599194325,-1.3866417619659584e-08,3.861458101619406e-08
2021_CH_46,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.0787070776220136e-08,1.2543373279407484e-08,0.8599816441665913,0.39710291874553005,-1.4906864631521784e-08,3.648100618396206e-08
2021_CH_51,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.1383265289918397e-08,1.3272615563852047e-08,0.8576504936163982,0.3983673653284774,-1.5804455221378847e-08,3.8570985801215645e-08
2021_CH_57,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.8472189996417305e-08,1.378018369820566e-08,1.3404893868593781,0.19086210816722352,-9.755236706237569e-09,4.669961669907218e-08
2021_CH_65,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.2659495483567404e-08,1.2595918991573706e-08,1.0050473881291415,0.32348109812855996,-1.3142074936246524e-08,3.846106590338133e-08
2021_CH_76,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.3163215961971524e-08,1.2444025837584551e-08,1.0577940076446009,0.2991903915909497,-1.2327215436421215e-08,3.8653647360364265e-08
2021_CH_83,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.4765876211594438e-08,1.2567861409597687e-08,1.1748917123097964,0.24993312178334498,-1.0978220856918305e-08,4.050997328010718e-08
2021_CH_86,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.7575096334171003e-08,1.217586379621619e-08,1.443437330469539,0.15999322381057532,-7.3660300235243955e-09,4.2516222691866404e-08
2021_LC_26,two_way_cluster,Two-way cluster (participant + question),1040,36,29,1.2192215078116101e-08,1.3780369669338516e-08,0.8847523956664184,0.3838250357568006,-1.603559256913548e-08,4.0420022725367683e-08
2022_CH_47,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.38972898458788e-08,1.2673574811987353e-08,1.096556421692007,0.2821771673749334,-1.206335131107241e-08,3.985793100283001e-08
2022_CH_51,two_way_cluster,Two-way cluster (participant + question),1039,36,29,9.931036680128989e-09,1.257916299610651e-08,0.7894831065630388,0.4364645247510731,-1.5836210638902044e-08,3.5698283999160026e-08
2022_CH_60,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.1240358810649502e-08,1.379092155952303e-08,0.8150549448153237,0.4219198171527039,-1.700906340381548e-08,3.9489781025114485e-08
2022_CH_71,two_way_cluster,Two-way cluster (participant + question),1039,36,29,1.3660351000851201e-08,1.2775230151450623e-08,1.069284141178472,0.2940735481345702,-1.2508521679458193e-08,3.9829223681160597e-08
