omitted_participant_id,robust_variant,robust_se_label,n_trials,n_participants,n_questions,abstractness_beta,abstractness_se,abstractness_stat,abstractness_p_value,abstractness_ci_low,abstractness_ci_high
PID001,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.2714733419313227e-08,1.3192464813191752e-08,0.9637875559538489,0.34312093357122675,-1.4266886669419215e-08,3.9696353508045674e-08
PID002,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.336693470839817e-08,1.2569070899964229e-08,1.063478344165933,0.2963407725015509,-1.233970167027624e-08,3.907357108707258e-08
PID003,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.913521037381033e-08,1.1138232841786107e-08,1.7179754316162996,0.09646260232874351,-3.6450335951865877e-09,4.191545434280725e-08
PID004,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.1905137725284442e-08,1.283487088469317e-08,0.9275619390517185,0.36129096330908805,-1.4345120661036019e-08,3.81553961116049e-08
PID005,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.114820371658317e-08,1.2499654624299301e-08,0.8918809400470223,0.3797976260638227,-1.4416460437454876e-08,3.671286787062121e-08
PID007,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.3528646102859404e-08,1.283441385154846e-08,1.0540914652855133,0.30054457272945617,-1.2720677545726058e-08,3.977796975144486e-08
PID008,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.4312317262783337e-08,1.3308179844016825e-08,1.0754526487119844,0.2910385600776799,-1.2905966637032845e-08,4.153060116259952e-08
PID009,two_way_cluster,Two-way cluster (participant + question),1048,35,30,1.514589233696711e-08,1.2718320767745477e-08,1.1908720194711648,0.24336036430172228,-1.0865994295377893e-08,4.115777896931211e-08
PID010,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.311736538010486e-08,1.2776262686906881e-08,1.02669815904361,0.31305066140145676,-1.3013025782831107e-08,3.9247756543040826e-08
PID011,two_way_cluster,Two-way cluster (participant + question),1045,35,30,1.4516116107371008e-08,1.2787111339160196e-08,1.1352146487468033,0.26558116364525447,-1.1636463040730626e-08,4.066869525547264e-08
