participant_id,participant_code,session_id,question_id,question_code,condition,condition_abstract,block,global_block_order,within_block_position,cumulative_trial_order,z_log_total_word_count,z_enem_correctness,response_time_sec,front_roi_mean_variable_lag4,front_roi_mean,back_roi_mean_variable_lag4,manual_override_session,no_override_cohort,type,abstracness,z_abstracness,z_abstracness_sq,threshold_distance_raw,z_threshold_distance,total_word_count,sentence_count,sentence_length,correctness,question_start_time,baseline_start_time,baseline_end_time,primary_window_start_time,primary_window_end_time,anterior_dorsal_n_channels,anterior_dorsal_mean_variable_lag4,anterior_ventral_n_channels,anterior_ventral_mean_variable_lag4,posterior_dorsal_n_channels,posterior_dorsal_mean_variable_lag4,posterior_ventral_n_channels,posterior_ventral_mean_variable_lag4
PID001,0,2025-11-06_008,2022_CH_51,27,Abstract,1.0,A1,1,1,1,0.4959657933609324,-0.9765675923399836,150.79349699999997,2.0660189222772845e-07,7.168948300279283e-08,1.2665671767574605e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,91,5,18.2,0.2543846345770937,365.152219,363.152219,365.152219,369.152219,519.151135,5,1.1789346549262272e-07,5,2.5835406711078526e-07,5,7.372520994896767e-08,6,1.6915898489014976e-07
PID001,0,2025-11-06_008,2022_CH_71,29,Abstract,1.0,A1,1,2,2,-0.5452427221661849,0.4620415654524358,124.307413,8.549934051917158e-09,-6.399222360198487e-08,3.211223736927224e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,59,3,19.67,0.444068288594161,519.651135,517.651135,519.651135,523.651135,647.932349,5,-1.0168772300545916e-07,5,1.9912991925622464e-07,5,2.1854798149694473e-08,6,1.7133003200255915e-07
PID001,0,2025-11-06_008,2022_CH_47,26,Abstract,1.0,A1,1,3,3,1.0374217805060666,0.6865312817739867,176.7309879999999,-9.419982303962009e-08,-1.3225747626470404e-07,-5.217381423684812e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,114,4,28.5,0.4736677315356127,648.432349,646.432349,648.432349,652.432349,829.163337,5,-3.6661515325614105e-08,5,-6.320883349485721e-08,5,-7.118580224897994e-09,6,5.7083883849427265e-09
PID001,0,2025-11-06_008,2019_CH_65,8,Abstract,1.0,A2,2,1,4,0.4154157465811737,-0.3021956459204002,101.59875699999998,1.312909081899288e-07,4.137392287994648e-08,6.172946619531564e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,88,3,29.33,0.3433019991514724,832.580281,830.580281,832.580281,836.580281,938.179038,5,7.132750994812017e-08,5,2.6744216320091413e-07,5,-1.6320384240167573e-08,6,1.9173751954131607e-07
PID001,0,2025-11-06_008,2020_LC_31,17,Abstract,1.0,A2,2,2,5,1.2969024283525536,0.491072224108366,126.66627199999994,-1.994277525827001e-07,-1.2295057497413493e-08,-1.3754825263337182e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,127,5,25.4,0.4478960422147685,939.075431,937.075431,939.075431,943.075431,1069.67199,5,-1.372164571375125e-07,5,-2.2880492089663431e-07,5,-1.290333554800701e-07,6,-2.2046126916293182e-07
PID001,0,2025-11-06_008,2020_CH_77,13,Abstract,1.0,A2,2,3,6,0.1561746054758361,-0.6844944649159799,98.07042699999988,-4.1988771026064523e-08,7.658996758283061e-09,4.1121852997990426e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,79,1,79.0,0.2928950929249277,1070.17199,1068.17199,1070.17199,1074.17199,1172.242417,5,-4.419844225362953e-08,5,-1.0287822666460446e-09,5,2.8533995450787782e-08,6,7.970670050028518e-08
PID001,0,2025-11-06_008,2021_CH_51,19,Abstract,1.0,A3,3,1,7,-0.6706373311158704,0.6512534794066687,50.78490300000021,4.4740130189561905e-09,1.8590998412546725e-07,-9.411022250872677e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,56,3,18.67,0.4690162788304226,1256.00103,1254.00103,1256.00103,1260.00103,1310.785933,5,4.4069480966744646e-08,5,-2.477196723878728e-08,5,-6.434971550999906e-08,6,-9.124823062772574e-08
PID001,0,2025-11-06_008,2021_CH_57,20,Abstract,1.0,A3,3,2,8,-1.2501139118066624,-0.5984069705038608,80.93597999999997,1.551297557552011e-07,3.2339172374765337e-07,1.47383917939515e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,44,2,22.0,0.304245910773413,1311.721529,1309.721529,1311.721529,1315.721529,1396.657509,5,1.7243851277069374e-07,5,1.1311475517914376e-07,5,1.6257454806858197e-07,6,1.4233440603408275e-07
PID001,0,2025-11-06_008,2021_CH_86,24,Abstract,1.0,A3,3,3,9,-0.5048577147492145,1.3097621052999473,101.486541,3.299926454914521e-07,5.504088351502616e-08,2.497604948482099e-07,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,60,1,60.0,0.5558420311097073,1397.853313,1395.853313,1397.853313,1401.853313,1503.339854,5,1.289233310068342e-07,5,5.524801882309033e-07,5,2.2348850167914093e-08,6,5.355931864310436e-07
PID001,0,2025-11-06_008,2021_CH_65,21,Abstract,1.0,A4,4,1,10,-0.1344565412126754,2.301474938515612,102.705066,-2.7529188905442964e-07,-6.960587879094907e-09,-5.37424176241253e-08,False,True,abstract,1.0,0.9812656949866586,0.9628823641576502,0.5,0.8799181669789496,70,3,23.33,0.6866014614393652,1678.239277,1676.239277,1678.239277,1682.239277,1784.944343,5,7.171724042494611e-09,5,-5.460901483312887e-07,5,1.1259481098494415e-07,6,-3.503580773318461e-07
