participant_id,participant_code,session_id,question_id,question_code,condition,condition_abstract,abstracness,z_abstracness,global_block_order,within_block_position,z_log_total_word_count,z_enem_correctness,response_time_sec,manual_override_session,no_override_cohort,question_start_time,baseline_start_time,baseline_end_time,primary_window_start_time,primary_window_end_time,outcome_variable,roi_mean_variable_lag4,roi_slug,roi_label
PID001,0,2025-11-06_008,2017_CH_47,0,Concrete,0.0,0.33329999999999993,-0.8029105168484137,6,1,-0.4260686437746248,1.0979750828394783,96.69166799999994,False,True,2522.053545,2520.053545,2522.053545,2526.053545,2621.983697,anterior_dorsal_mean_variable_lag4,1.477137030237739e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2017_CH_68,1,Concrete,0.0,0.16670000000000007,-1.2487538600188395,7,3,-0.9914934219713682,-1.3364726213150109,70.52115599999979,False,True,3150.196522,3148.196522,3150.196522,3154.196522,3224.717678,anterior_dorsal_mean_variable_lag4,-1.8648075585375116e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2017_CH_69,2,Concrete,0.0,0.33329999999999993,-0.8029105168484137,10,1,-0.4260686437746248,-0.7521308608059422,76.58389399999942,False,True,4211.497204,4209.497204,4211.497204,4215.497204,4292.081098,anterior_dorsal_mean_variable_lag4,3.355707487193819e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2017_CH_75,3,Concrete,0.0,0.33329999999999993,-0.8029105168484137,7,2,0.929652535764228,-1.4157789468713895,119.58881799999972,False,True,3025.922155,3023.922155,3025.922155,3029.922155,3149.510973,anterior_dorsal_mean_variable_lag4,-9.906087827361461e-09,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2018_CH_77,4,Concrete,0.0,0.0,-1.6948648162403883,10,2,-0.94294931884182,-1.310288679405072,48.15568800000074,False,True,4292.85089,4290.85089,4292.85089,4296.85089,4345.006578,anterior_dorsal_mean_variable_lag4,-1.8748123272066805e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2018_LC_44,5,Concrete,0.0,0.16670000000000007,-1.2487538600188395,6,3,1.389688140576973,-0.6674086028177602,91.8000790000001,False,True,2736.461735,2734.461735,2736.461735,2740.461735,2832.261814,anterior_dorsal_mean_variable_lag4,-6.11531748084635e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2019_CH_56,6,Abstract,1.0,1.0,0.9812656949866586,5,2,-0.0667661106566081,0.0717737519545465,129.01843899999994,False,True,2196.258024,2194.258024,2196.258024,2200.258024,2329.276463,anterior_dorsal_mean_variable_lag4,5.6986662079470376e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2019_CH_64,7,Abstract,1.0,1.0,0.9812656949866586,4,2,0.8851540163061837,1.676860146097159,92.48808299999996,False,True,1785.509804,1783.509804,1785.509804,1789.509804,1881.157473,anterior_dorsal_mean_variable_lag4,1.6653539581684636e-09,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2019_CH_65,8,Abstract,1.0,1.0,0.9812656949866586,2,1,0.4154157465811737,-0.3021956459204002,101.59875699999998,False,True,832.580281,830.580281,832.580281,836.580281,938.179038,anterior_dorsal_mean_variable_lag4,7.132750994812017e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2020_CH_56,9,Concrete,0.0,0.33329999999999993,-0.8029105168484137,8,1,-2.2518477633179645,0.7573109318980379,77.73448400000007,False,True,3365.147662,3363.147662,3365.147662,3369.147662,3446.882146,anterior_dorsal_mean_variable_lag4,-1.66921251494512e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2020_CH_59,10,Concrete,0.0,0.33329999999999993,-0.8029105168484137,9,1,-0.2041092841510671,0.5696170426960993,94.41533100000017,False,True,3789.297537,3787.297537,3789.297537,3793.297537,3887.712868,anterior_dorsal_mean_variable_lag4,-1.7427574048947677e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2020_CH_70,11,Concrete,0.0,0.33329999999999993,-0.8029105168484137,6,2,-0.169030538835905,-1.0488884828831635,108.52848999999968,False,True,2622.483697,2620.483697,2622.483697,2626.483697,2735.012187,anterior_dorsal_mean_variable_lag4,-1.445420168589731e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2020_CH_76,12,Abstract,1.0,1.0,0.9812656949866586,4,3,0.1255646198243954,-0.511405592177757,103.73853600000008,False,True,1881.657473,1879.657473,1881.657473,1885.657473,1989.396009,anterior_dorsal_mean_variable_lag4,-8.51283664581026e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2020_CH_77,13,Abstract,1.0,1.0,0.9812656949866586,2,3,0.1561746054758361,-0.6844944649159799,98.07042699999988,False,True,1070.17199,1068.17199,1070.17199,1074.17199,1172.242417,anterior_dorsal_mean_variable_lag4,-4.419844225362953e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2020_CH_78,14,Concrete,0.0,0.33329999999999993,-0.8029105168484137,9,3,-2.3361669895037065,0.0020441611073083,61.921006000000034,False,True,3959.569235,3957.569235,3959.569235,3963.569235,4025.490241,anterior_dorsal_mean_variable_lag4,-9.560444412694645e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2020_CH_82,15,Concrete,0.0,0.16670000000000007,-1.2487538600188395,7,1,0.8398158527831238,0.4360691378486896,77.28905500000019,False,True,2943.143607,2941.143607,2943.143607,2947.143607,3024.432662,anterior_dorsal_mean_variable_lag4,-2.9949252954040537e-09,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2020_CH_84,16,Concrete,0.0,0.33329999999999993,-0.8029105168484137,9,2,-0.5863181049301306,-1.2526273197494673,67.35632699999996,False,True,3888.611489,3886.611489,3888.611489,3892.611489,3959.069235,anterior_dorsal_mean_variable_lag4,-1.1014376672918002e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2020_LC_31,17,Abstract,1.0,1.0,0.9812656949866586,2,2,1.2969024283525536,0.491072224108366,126.66627199999994,False,True,939.075431,937.075431,939.075431,943.075431,1069.67199,anterior_dorsal_mean_variable_lag4,-1.372164571375125e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_46,18,Concrete,0.0,0.33329999999999993,-0.8029105168484137,10,3,-0.3125269842682109,1.4273572571066844,64.50093500000003,False,True,4345.677142,4343.677142,4345.677142,4349.677142,4414.178077,anterior_dorsal_mean_variable_lag4,4.3681788885961975e-09,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_51,19,Abstract,1.0,1.0,0.9812656949866586,3,1,-0.6706373311158704,0.6512534794066687,50.78490300000021,False,True,1256.00103,1254.00103,1256.00103,1260.00103,1310.785933,anterior_dorsal_mean_variable_lag4,4.4069480966744646e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_57,20,Abstract,1.0,1.0,0.9812656949866586,3,2,-1.2501139118066624,-0.5984069705038608,80.93597999999997,False,True,1311.721529,1309.721529,1311.721529,1315.721529,1396.657509,anterior_dorsal_mean_variable_lag4,1.7243851277069374e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_65,21,Abstract,1.0,1.0,0.9812656949866586,4,1,-0.1344565412126754,2.301474938515612,102.705066,False,True,1678.239277,1676.239277,1678.239277,1682.239277,1784.944343,anterior_dorsal_mean_variable_lag4,7.171724042494611e-09,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_76,22,Concrete,0.0,0.33329999999999993,-0.8029105168484137,8,2,0.3601753510213835,-1.5422365867215426,83.45961399999987,False,True,3447.874161,3445.874161,3447.874161,3451.874161,3535.333775,anterior_dorsal_mean_variable_lag4,-1.0763357754971285e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_83,23,Abstract,1.0,1.0,0.9812656949866586,5,1,1.1606719436386206,0.3913544668532575,93.03862199999958,False,True,2099.357174,2097.357174,2099.357174,2103.357174,2195.758024,anterior_dorsal_mean_variable_lag4,-7.509270213132783e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_CH_86,24,Abstract,1.0,1.0,0.9812656949866586,3,3,-0.5048577147492145,1.3097621052999473,101.486541,False,True,1397.853313,1395.853313,1397.853313,1401.853313,1503.339854,anterior_dorsal_mean_variable_lag4,1.289233310068342e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2021_LC_26,25,Concrete,0.0,0.16670000000000007,-1.2487538600188395,8,3,2.264859834801295,-0.5607517593851553,157.24760800000013,False,True,3536.743587,3534.743587,3536.743587,3540.743587,3697.991195,anterior_dorsal_mean_variable_lag4,2.1705524714857493e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2022_CH_47,26,Abstract,1.0,1.0,0.9812656949866586,1,3,1.0374217805060666,0.6865312817739867,176.7309879999999,False,True,648.432349,646.432349,648.432349,652.432349,829.163337,anterior_dorsal_mean_variable_lag4,-3.6661515325614105e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2022_CH_51,27,Abstract,1.0,1.0,0.9812656949866586,1,1,0.4959657933609324,-0.9765675923399836,150.79349699999997,False,True,365.152219,363.152219,365.152219,369.152219,519.151135,anterior_dorsal_mean_variable_lag4,1.1789346549262272e-07,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2022_CH_60,28,Abstract,1.0,1.0,0.9812656949866586,5,3,0.4425668985007616,0.5286921676923586,162.40833599999996,False,True,2329.857554,2327.857554,2329.857554,2333.857554,2496.26589,anterior_dorsal_mean_variable_lag4,-7.36640292320523e-08,anterior_dorsal,Anterior Dorsal
PID001,0,2025-11-06_008,2022_CH_71,29,Abstract,1.0,1.0,0.9812656949866586,1,2,-0.5452427221661849,0.4620415654524358,124.307413,False,True,519.651135,517.651135,519.651135,523.651135,647.932349,anterior_dorsal_mean_variable_lag4,-1.0168772300545916e-07,anterior_dorsal,Anterior Dorsal
PID002,1,2025-11-06_PID002,2017_CH_47,0,Concrete,0.0,0.33329999999999993,-0.8029105168484137,3,2,-0.4260686437746248,1.0979750828394783,46.429619,False,True,1295.990586,1293.990586,1295.990586,1299.990586,1345.763662,anterior_dorsal_mean_variable_lag4,-3.1672784186008753e-07,anterior_dorsal,Anterior Dorsal
