participant_id,participant_folder,timestamp_raw,timestamp_iso,source_log,source_log_full_path,block,block_type,block_index_within_type,global_block_order,trial_idx_in_block,trial_idx_global,order_condition,question_id,question_number,question_year,question_field,question_type_log_clean,metadata_question_type,correct_answer,enem_correctness,total_word_count,sentence_count,sentence_length,question_itself_translated,chosen_answer,participant_correct,response_status,answer_available,t_text_on,t_stem_on,t_options_on,t_answer,rt_text_to_stem,rt_stem_to_options,rt_options_to_answer,rt_text_to_answer,rt_stem_to_answer,sec_per_word,sec_per_sentence,metadata_matched,metadata_type_matches_log,metadata_year_matches_log,metadata_field_matches_log,quality_flags,trial_notes,block_type_from_block,question_type_log,t_iti,rt_from_phase_answer,option_view_time,chosen_answer_raw,answer_marker_name,n_answer_rows,n_button_click_rows,button_click_times_json,metadata_question_year,metadata_question_field,metadata_question_number,question_text_translated,question_option_A_translated,question_option_B_translated,question_option_C_translated,question_option_D_translated,question_option_E_translated,metadata_validation_flags
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A1,Abstract,1,1,1,1,AbstractFirst,2022_CH_51,51,2022,CH,Abstract,Abstract,E,0.2543846345770937,91.0,5.0,18.2,What structural change is the result of the form of economic organization described in the text?,A,0,ANSWERED_VALID,True,354.211628,423.410714,457.811284,505.005125,69.19908599999997,34.400570000000016,47.19384100000002,150.793497,81.59441100000004,1.6570713956043956,30.1586994,True,True,True,True,,ITI duration: 4.06s,Abstract,abstract,354.170595,47.19387989999086,47.193861,A,ANS_A,1,0,[],2022,CH,51,"A new economy emerged on a global scale in the last quarter of the 20th century. I call it informational, to identify its fundamental and differentiated global and network characteristics and emphasize their interconnection. It is informational because it basically depends on its ability to efficiently generate, process and apply knowledge-based information. It is global because its components are organized on a global scale, directly or through a network of connections between economic agents. It is a network because it is based on a global network of interactions between business networks.",Series manufacturing.,Expansion of stocks.,Weakening of cartels.,Standardization of goods.,Deterritorialization of production.,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A1,Abstract,1,1,2,2,AbstractFirst,2022_CH_71,71,2022,CH,Abstract,Abstract,A,0.444068288594161,59.0,3.0,19.67,"In contemporary societies, it consists of a violation of the basic principle stated in the text:",A,1,ANSWERED_VALID,True,508.710544,540.978507,553.459335,633.017957,32.26796300000001,12.480827999999974,79.55862200000001,124.307413,92.03944999999999,2.1069053050847457,41.43580433333333,True,True,True,True,,ITI duration: 3.15s,Abstract,abstract,508.694435,79.55865849999827,79.55864,A,ANS_A,1,0,[],2022,CH,71,"The basic principle of the rule of law is the elimination of discretion in the exercise of public powers, with the consequent guarantee of individuals' rights before these powers. Rule of law means that no individual, president or ordinary citizen is above the law. Democratic governments exercise authority through law and are themselves subject to constraints imposed by law.",Suppression of elections for political representatives.,Intervention in areas of vulnerability by the Church.,Dissemination of social projects in universities.,Expansion of income concentration processes.,Regulation of labor relations by the Legislature.,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A1,Abstract,1,1,3,3,AbstractFirst,2022_CH_47,47,2022,CH,Abstract,Abstract,E,0.4736677315356127,114.0,4.0,28.5,"In the excerpt, philosopher Hannah Arendt shows the importance of language in the process of",C,0,ANSWERED_VALID,True,637.491758,646.283089,755.353059,814.222746,8.791331000000014,109.06997000000001,58.869687,176.73098800000002,167.939657,1.5502718245614038,44.182747000000006,True,True,True,True,,ITI duration: 3.92s,Abstract,abstract,637.4583,58.8697233999992,58.86971,C,ANS_C,1,0,[],2022,CH,47,"Whenever the relevance of speech comes into play, the issue becomes political by definition, as it is speech that makes man a political being. And everything that men do, know or experience only makes sense to the extent that it can be discussed. There will, perhaps, be truths that go beyond language and that can be of great relevance to man in the singular, that is, to man who, whatever he may be, is not a political being. But men in the plural, that is, men who live and move and act in this world, can only experience the meaning of things because they can speak and be intelligible among themselves and with themselves.",understanding of culture.,increased creativity.,perception of individuality.,improvement of technique.,construction of sociability.,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A2,Abstract,2,2,1,4,AbstractFirst,2019_CH_65,65,2019,CH,Abstract,Abstract,A,0.3433019991514724,88.0,3.0,29.33,The text points to an innovation in political theory in the modern era defined by the distinction between:,C,0,ANSWERED_VALID,True,821.63969,824.184014,894.456655,923.238447,2.544324000000074,70.27264099999991,28.781791999999996,101.59875699999998,99.0544329999999,1.1545313295454542,33.86625233333333,True,True,True,True,,ITI duration: 4.03s,Abstract,abstract,821.613601,28.781878000008874,28.781864,C,ANS_C,1,0,[],2019,CH,65,"For Machiavelli, when a man decides to tell the truth at the risk of his own physical integrity, such a decision concerns only his person. But if that same man is a head of state, personal criteria are no longer adequate to decide on actions whose consequences become so broad, since the damage will not only be individual, but collective. In this case, depending on the circumstances and the ends to be achieved, it can be decided that the best thing for the common good is to lie.",ideality and effectiveness of morality.,nullity and preservation of freedom.,illegality and legitimacy of the ruler.,verifiability and possibility of truth.,objectivity and subjectivity of knowledge.,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A2,Abstract,2,2,2,5,AbstractFirst,2020_LC_31,31,2020,LC,Abstract,Abstract,E,0.4478960422147685,127.0,5.0,25.4,"Due to the characteristics of the text read, which deals with the consequences of losing a pet, it is considered to fit into the genre",C,0,ANSWERED_VALID,True,928.13484,935.371683,948.800926,1054.801112,7.236842999999908,13.429243000000042,106.0001860000001,126.66627200000005,119.42942900000014,0.9973722204724413,25.33325440000001,True,True,True,True,,ITI duration: 4.33s,Abstract,abstract,928.078901,106.00028429999657,106.000265,C,ANS_C,1,0,[],2020,LC,31,"Woman has clinically broken heart after dog dies
As The New England Journal of Medicine explains, the patient, named Joanie Simpson, had signs of a heart attack, such as chest pain and high blood pressure, and had problems with her coronary arteries. When doctors performed an echocardiogram, they found the problem: Takotsubo cardiomyopathy, known as broken heart syndrome.
This medical condition typically occurs in postmenopausal women and may be preceded by a very stressful or emotional event. In these cases, the heart presents a transient dyskinetic movement of the anterior wall of the left ventricle, with accentuation of the kinetics of the ventricular base, according to a Brazilian medical article that reports a similar case. Simpson was sent home after two days and started taking regular medication.","short story, as it shows the life story of Joanie Simpson.","testimony, as it exposes the suffering of the animal's owner.","report, as it scientifically discusses cardiomyopathy.","report, as it narrates a stressful event experienced by the patient.","news, as it discloses facts about broken heart syndrome.",
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A2,Abstract,2,2,3,6,AbstractFirst,2020_CH_77,77,2020,CH,Abstract,Abstract,A,0.2928950929249277,79.0,1.0,79.0,"In the fragment, Aristotle promotes a reflection that associates two essential elements to the discussion about community life, namely:",D,0,ANSWERED_VALID,True,1059.231399,1061.149899,1061.949514,1157.301826,1.9184999999999945,0.7996149999999034,95.35231199999998,98.07042699999988,96.15192699999989,1.2413978101265808,98.07042699999988,True,True,True,True,,ITI duration: 3.88s,Abstract,abstract,1059.20818,95.35238160000881,95.352368,D,ANS_D,1,0,[],2020,CH,77,"We see that every city is a kind of community, and every community is formed with a view to some good, since all the actions of all men are carried out with a view to what seems to them a good; If all communities aim at some good, it is evident that the most important of them all and which includes all the others has this objective more than all and aims at the most important of all goods.","Ethics and politics, as they lead to eudaimonia.","Rhetoric and language, as they take care of the speeches in the agora.","Metaphysics and ontology, as they deal with first philosophy.","Democracy and society, as they refer to social relations.","Generation and corruption, as they encompass the field of physis.",
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A3,Abstract,3,3,1,7,AbstractFirst,2021_CH_51,51,2021,CH,Abstract,Abstract,A,0.4690162788304226,56.0,3.0,18.67,"Considering the debate on water security, the proposal presented in the text is based on",B,0,ANSWERED_VALID,True,1245.060439,1278.478869,1284.733687,1295.845342,33.418429999999944,6.2548179999998865,11.111655000000155,50.784902999999986,17.366473000000042,0.9068732678571426,16.928300999999994,True,True,True,True,,ITI duration: 4.40s,Abstract,abstract,1245.0289,11.111727499999688,11.111712,B,ANS_B,1,0,[],2021,CH,51,"Fair prices and water use authorizations must adequately ensure that water withdrawal, as well as effluent return, maintain efficient and environmentally sustainable operations, in a way that is adaptable to the peculiarities and needs of industry and large-scale irrigation, as well as agricultural activities on a small scale and subsistence.
UNESCO. United Nations World Development Report",equitable distribution of supply.,monitoring urban supply.,rationing of river capacity.,gradual revitalization of soils.,generation of recyclable products.,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A3,Abstract,3,3,2,8,AbstractFirst,2021_CH_57,57,2021,CH,Abstract,Abstract,D,0.304245910773413,44.0,2.0,22.0,"The text indicates that, in capitalism, the satisfaction of personal desires is influenced by",B,0,ANSWERED_VALID,True,1300.780938,1302.705005,1347.468655,1381.716918,1.9240669999999227,44.76364999999987,34.24826300000018,80.93597999999997,79.01191300000005,1.8394540909090902,40.467989999999986,True,True,True,True,,ITI duration: 4.38s,Abstract,abstract,1300.754147,34.24832769999921,34.248311,B,ANS_B,1,0,[],2021,CH,57,"In the most highly developed sectors of contemporary society, the transplantation of social to individual needs is so effective that the difference between them appears purely theoretical. Creatures recognize themselves in their merchandise; they find their soul in their automobile, walk-up apartments, kitchen utensils.",state disclosure policies.,controlled consumption incentives.,collective organization prescriptions.,subjective identification mechanisms.,rationalized repressions of narcissism.,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A3,Abstract,3,3,3,9,AbstractFirst,2021_CH_86,86,2021,CH,Abstract,Abstract,A,0.5558420311097073,60.0,1.0,60.0,"This allegorical construction of Descartes, regarding the epistemological condition of philosophy, has as its goal",A,1,ANSWERED_VALID,True,1386.912722,1443.500722,1459.571741,1488.399263,56.587999999999965,16.07101899999998,28.827522000000044,101.48654099999999,44.89854100000002,1.6914423499999998,101.48654099999999,True,True,True,True,,ITI duration: 4.66s,Abstract,abstract,1386.890428,28.82758380001178,28.827566,A,ANS_A,1,0,[],2021,CH,86,"Philosophy is like a tree, whose roots are metaphysics; the trunk, physics, and the branches that come out of the trunk are all the other sciences, which are reduced to three main ones: medicine, mechanics and morals,
understanding morality as the highest and most perfect because it presupposes integral knowledge of other sciences, and is the last degree of wisdom.",sustain the essential unity of knowledge.,refute the fundamental element of beliefs.,boost speculative thinking.,welcome the experimental method.,encourage the suspension of judgments.,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A4,Abstract,4,4,1,10,AbstractFirst,2021_CH_65,65,2021,CH,Abstract,Abstract,A,0.6866014614393652,70.0,3.0,23.33,"In the text, the author presents ethical guidelines that correspond to the",B,0,ANSWERED_VALID,True,1667.298686,1704.743953,1712.833013,1770.003752,37.44526699999983,8.089060000000018,57.17073900000014,102.70506599999999,65.25979900000016,1.4672152285714284,34.235021999999994,True,True,True,True,,ITI duration: 4.78s,Abstract,abstract,1667.278293,57.17082899999514,57.170813,B,ANS_B,1,0,[],2021,CH,65,"At the same time, thanks to the ample opportunities I had to observe the middle class, your adversary, I quickly concluded that you are right, entirely right, in not expecting any help from them. Their interests are diametrically opposed to yours, even if she incessantly seeks to affirm the opposite and wants to persuade you that they feel the greatest sympathy for your fate. But their actions belie her words.",class struggle concept.,foundation of the idea of ​​surplus value.,foundations of the scientific method.,paradigms of the inquiry process.,domains of commodity fetishism.,
