block,block_type,global_block_order,trial_idx_in_block,n_presented_questions,n_answered_questions,mean_rt_text_to_answer,mean_accuracy,mean_sec_per_word,mean_sec_per_sentence
A1,Abstract,1,1,13,13,102.1297663846154,0.46153846153846156,1.3519852237967467,60.75096446433566
C1,Concrete,1,1,23,23,96.92250939130433,0.5217391304347826,1.8249108564115424,48.192781033850935
A1,Abstract,1,2,13,13,109.38158823076922,0.5384615384615384,1.2753878238176664,47.53919620571095
C1,Concrete,1,2,23,23,92.76881260869564,0.391304347826087,1.4842665705813483,36.30043009720497
A1,Abstract,1,3,13,13,101.71904861538461,0.46153846153846156,1.2106212569590293,33.72994861002331
C1,Concrete,1,3,23,23,77.81430404347826,0.6086956521739131,1.4353509060354375,37.57216192018633
A2,Abstract,2,1,13,13,105.32888115384617,0.6153846153846154,1.3044936548665933,38.83012676223777
C2,Concrete,2,1,23,23,96.48519878260869,0.5217391304347826,1.6334098116363027,55.231160463457556
A2,Abstract,2,2,13,13,105.70219984615383,0.6923076923076923,1.4224529271985928,38.378534932051274
C2,Concrete,2,2,23,23,94.75793665217392,0.6956521739130435,1.184241611781623,33.43389675217392
A2,Abstract,2,3,13,13,103.06335707692307,0.5384615384615384,1.2558085279202982,37.78125806410256
C2,Concrete,2,3,22,22,94.75533518181818,0.36363636363636365,1.357014155954384,36.354785161038954
A3,Abstract,3,1,13,13,104.48689700000001,0.46153846153846156,1.5539446931536909,37.633069980769235
C3,Concrete,3,1,23,23,110.98453795652172,0.5652173913043478,1.398477010122404,40.57892395973083
A3,Abstract,3,2,13,13,100.19631646153849,0.5384615384615384,1.3104789299569097,33.26156921981354
C3,Concrete,3,2,23,23,85.97170995652175,0.4782608695652174,1.1660441469176828,32.04908240427883
A3,Abstract,3,3,12,12,107.42854525000001,0.6666666666666666,1.2410403225398923,34.716967616666665
C3,Concrete,3,3,23,23,90.27707756521738,0.5217391304347826,1.2938548950396254,38.25905934699793
A4,Abstract,4,1,13,13,98.76295930769236,0.38461538461538464,1.3143135040038976,33.59966812820515
C4,Concrete,4,1,23,23,97.35785965217391,0.5652173913043478,1.4110606673062487,42.676049428812966
A4,Abstract,4,2,13,13,92.37690992307694,0.5384615384615384,1.0713488136325373,27.785592343006993
C4,Concrete,4,2,23,23,98.30115608695657,0.5652173913043478,1.606589866183921,50.59765357522431
A4,Abstract,4,3,13,13,93.53771961538466,0.5384615384615384,1.2643221152042894,39.75376744102566
C4,Concrete,4,3,22,22,80.04670750000001,0.5454545454545454,1.3083299727589421,32.2903840225469
A5,Abstract,5,1,13,13,94.36789646153852,0.38461538461538464,1.3366564182495149,41.48742349195805
C5,Concrete,5,1,23,23,79.50000939130436,0.5217391304347826,1.2252302617689321,39.41819879206349
A5,Abstract,5,2,13,13,105.03798115384615,0.6923076923076923,1.3329076833855937,32.555430549533796
C5,Concrete,5,2,23,23,78.92480130434784,0.391304347826087,1.2590339893840992,35.63729397018635
