variable_name,response_status,missing_count,missing_percentage,n_trials_in_status
block,ANSWERED_VALID,0,0.0,1075
chosen_answer,ANSWERED_VALID,0,0.0,1075
correct_answer,ANSWERED_VALID,0,0.0,1075
enem_correctness,ANSWERED_VALID,0,0.0,1075
metadata_question_type,ANSWERED_VALID,0,0.0,1075
participant_correct,ANSWERED_VALID,0,0.0,1075
question_id,ANSWERED_VALID,0,0.0,1075
rt_options_to_answer,ANSWERED_VALID,0,0.0,1075
rt_stem_to_answer,ANSWERED_VALID,0,0.0,1075
rt_stem_to_options,ANSWERED_VALID,0,0.0,1075
rt_text_to_answer,ANSWERED_VALID,0,0.0,1075
rt_text_to_stem,ANSWERED_VALID,0,0.0,1075
sec_per_sentence,ANSWERED_VALID,0,0.0,1075
sec_per_word,ANSWERED_VALID,0,0.0,1075
t_answer,ANSWERED_VALID,0,0.0,1075
t_options_on,ANSWERED_VALID,0,0.0,1075
t_stem_on,ANSWERED_VALID,0,0.0,1075
t_text_on,ANSWERED_VALID,0,0.0,1075
