participant_id,session_id,session_folder_path,psychopy_file,snirf_file,snirf_backup_file,snirf_readable,duration_sec,annotation_count,comparison_result,expected_min_count,matched_min_count,missing_min_count,extra_raw_min_count,time_offset_sec,n_raw_channels,n_short_channels_raw,n_long_channels_raw,n_pairs,n_short_pairs,n_long_pairs,aux_group_count,accelerometer_configured,accelerometer_aux_present,accelerometer_exposed_in_mne_raw,montage_left_lateralized,backup_differs_from_current,preprocessing_success,preprocessed_file,n_bad_pairs,n_bad_hb_channels,qc_label,final_status,global_analysis_excluded,global_exclusion_reason
PID001,2025-11-06_008,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008.snirf,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008.snirf.bak_pre_marker_fix,True,4655.382528,181,MATCH_RAW,80,80,0,0,10.94059100000004,60,16,44,30,8,22,6,True,True,False,True,True,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID001_2025-11-06_008_preprocessed_raw.fif,0.0,0.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID002,2025-11-06_PID002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001.snirf,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001.snirf.bak_pre_marker_fix,True,4499.767296000001,182,MATCH_RAW,80,80,0,0,22.717795000000024,60,16,44,30,8,22,0,False,False,False,True,True,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID002_2025-11-06_PID002_preprocessed_raw.fif,0.0,0.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID003,2025-11-11_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/enem_blocks_PID003_20251111_140525.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003/2025-11-11_003.snirf,,True,4407.754752000001,244,MISSING_TRIGGERS_REPAIRABLE,80,80,0,0,-83.45549800000015,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID003_2025-11-11_003_preprocessed_raw.fif,2.0,4.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID004,2025-11-11_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/enem_blocks_pid004_20251111_154532.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004/2025-11-11_004.snirf,,True,4474.601472000001,244,MISSING_TRIGGERS_REPAIRABLE,80,80,0,0,29.46446949999995,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID004_2025-11-11_004_preprocessed_raw.fif,7.0,14.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID005,2025-11-12_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/enem_blocks_PID05_20251112_112312.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001/2025-11-12_001.snirf,,True,4505.272320000001,244,MISSING_TRIGGERS_REPAIRABLE,80,80,0,0,10.939642999999933,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID005_2025-11-12_001_preprocessed_raw.fif,0.0,0.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID006,2025-11-12_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002/2025-11-12_002.snirf,,True,10.420224000000001,0,MISMATCH_REVIEW_REQUIRED,0,0,0,0,,60,16,44,30,8,22,6,True,True,False,True,False,False,,,,EXCLUDE,EXCLUDE_FROM_STEP4,True,Global downstream exclusion after Step 3 review: Excluded from Step 1 and Step 2 summaries and from future downstream analyses after Step 3 documented session 2025-11-12_002 as an implausibly short 10.420224 second recording with no paired PsychoPy log.
PID006,2025-11-12_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/enem_blocks_PID06_20251112_161827.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003/2025-11-12_003.snirf,,True,4527.783936000001,243,MISSING_TRIGGERS_REPAIRABLE,80,80,0,0,14.743032999999741,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID006_2025-11-12_003_preprocessed_raw.fif,0.0,0.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,True,Global downstream exclusion after Step 3 review: Excluded from Step 1 and Step 2 summaries and from future downstream analyses after Step 3 documented session 2025-11-12_002 as an implausibly short 10.420224 second recording with no paired PsychoPy log.
PID007,2025-11-13_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/enem_blocks_pid007_20251113_163330.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001/2025-11-13_001.snirf,,True,4481.187840000001,244,MISSING_TRIGGERS_REPAIRABLE,80,80,0,0,20.96551750000026,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID007_2025-11-13_001_preprocessed_raw.fif,6.0,12.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID008,2025-11-14_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/enem_blocks_PID08_20251114_124523.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002/2025-11-14_002.snirf,,True,4426.137600000001,244,MISSING_TRIGGERS_REPAIRABLE,80,80,0,0,10.985995999999886,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID008_2025-11-14_002_preprocessed_raw.fif,0.0,0.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID009,2025-11-14_002 (PID09),/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09),/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/enem_blocks_PID09_20251114_143701.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09)/2025-11-14_002.snirf,,True,5208.8340480000015,217,MISSING_TRIGGERS_REPAIRABLE,74,74,0,0,13.874285999999984,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID009_2025-11-14_002_PID09_preprocessed_raw.fif,0.0,0.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID010,2025-11-14_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/enem_blocks_PID010_20251114_165001.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID010/2025-11-14_003/2025-11-14_003.snirf,,True,4545.08544,244,MISSING_TRIGGERS_REPAIRABLE,80,80,0,0,5.790410000000065,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID010_2025-11-14_003_preprocessed_raw.fif,0.0,0.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID011,2025-11-18_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/enem_blocks_PID11_20251118_110941.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID11/2025-11-18_002/2025-11-18_002.snirf,,True,4468.408320000001,246,MATCH_RAW,80,80,0,0,50.36609349999998,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID011_2025-11-18_002_preprocessed_raw.fif,0.0,0.0,OK,READY_FOR_STEP4,False,
PID012,2025-11-18_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/enem_blocks_PID12_20251118_141329.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID12/2025-11-18_003/2025-11-18_003.snirf,,True,4513.529856000001,246,MATCH_RAW,80,80,0,0,15.839456499999983,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID012_2025-11-18_003_preprocessed_raw.fif,7.0,14.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID013,2025-11-18_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/enem_blocks_PID13_20251118_153529.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 18-11-25/PID13/2025-11-18_004/2025-11-18_004.snirf,,True,4596.203520000001,246,MATCH_RAW,80,80,0,0,10.047872999999981,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID013_2025-11-18_004_preprocessed_raw.fif,0.0,0.0,OK,READY_FOR_STEP4,False,
PID014,2025-11-19_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/enem_blocks_PID014_20251119_102835.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID014/2025-11-19_002/2025-11-19_002.snirf,,True,4480.401408000001,243,MATCH_RAW,80,80,0,0,12.269961499999965,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID014_2025-11-19_002_preprocessed_raw.fif,0.0,0.0,OK,READY_FOR_STEP4,False,
PID015,2025-11-19_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/enem_blocks_PID015_20251119_140111.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID015/2025-11-19_003/2025-11-19_003.snirf,,True,4536.041472000001,246,MATCH_RAW,80,80,0,0,26.145189000000187,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID015_2025-11-19_003_preprocessed_raw.fif,0.0,0.0,OK,READY_FOR_STEP4,False,
PID016,2025-11-19_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/enem_blocks_PID016_20251119_160945.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 19-11-25/PID016/2025-11-19_004/2025-11-19_004.snirf,,True,4505.8621440000015,246,MATCH_RAW,80,80,0,0,16.977362000000085,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID016_2025-11-19_004_preprocessed_raw.fif,0.0,0.0,OK,READY_FOR_STEP4,False,
PID017,2025-11-20_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/enem_blocks_pid17_20251120_101028.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID17/2025-11-20_001/2025-11-20_001.snirf,,True,4481.384448000001,246,MATCH_RAW,80,80,0,0,25.63211250000012,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID017_2025-11-20_001_preprocessed_raw.fif,1.0,2.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID018,2025-11-20_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/enem_blocks_PID18_20251120_115656.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID18/2025-11-20_002/2025-11-20_002.snirf,,True,5127.8315520000015,223,MATCH_INCOMPLETE_SESSION,76,76,0,0,15.044248999999809,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID018_2025-11-20_002_preprocessed_raw.fif,0.0,0.0,OK_WITH_WARNINGS,READY_FOR_STEP4_WITH_WARNINGS,False,
PID019,2025-11-20_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/enem_blocks_PID19_20251120_140642.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 20-11-25/PID19/2025-11-20_003/2025-11-20_003.snirf,,True,4422.991872000001,246,MATCH_RAW,80,80,0,0,12.732254000000012,60,16,44,30,8,22,6,True,True,False,True,False,True,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID019_2025-11-20_003_preprocessed_raw.fif,0.0,0.0,OK,READY_FOR_STEP4,False,
