participant_id,session_id,preprocessed_file,preprocessing_success,n_bad_pairs,n_bad_hb_channels,short_channel_regression_applied,notes,global_analysis_excluded,global_exclusion_reason
PID001,2025-11-06_008,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID001_2025-11-06_008_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID002,2025-11-06_PID002,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID002_2025-11-06_PID002_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID003,2025-11-11_003,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID003_2025-11-11_003_preprocessed_raw.fif,True,2.0,4.0,True,,False,
PID004,2025-11-11_004,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID004_2025-11-11_004_preprocessed_raw.fif,True,7.0,14.0,True,,False,
PID005,2025-11-12_001,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID005_2025-11-12_001_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID006,2025-11-12_002,,False,,,False,,True,Global downstream exclusion after Step 3 review: Excluded from Step 1 and Step 2 summaries and from future downstream analyses after Step 3 documented session 2025-11-12_002 as an implausibly short 10.420224 second recording with no paired PsychoPy log.
PID006,2025-11-12_003,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID006_2025-11-12_003_preprocessed_raw.fif,True,0.0,0.0,True,,True,Global downstream exclusion after Step 3 review: Excluded from Step 1 and Step 2 summaries and from future downstream analyses after Step 3 documented session 2025-11-12_002 as an implausibly short 10.420224 second recording with no paired PsychoPy log.
PID007,2025-11-13_001,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID007_2025-11-13_001_preprocessed_raw.fif,True,6.0,12.0,True,,False,
PID008,2025-11-14_002,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID008_2025-11-14_002_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID009,2025-11-14_002 (PID09),/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID009_2025-11-14_002_PID09_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID010,2025-11-14_003,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID010_2025-11-14_003_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID011,2025-11-18_002,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID011_2025-11-18_002_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID012,2025-11-18_003,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID012_2025-11-18_003_preprocessed_raw.fif,True,7.0,14.0,True,,False,
PID013,2025-11-18_004,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID013_2025-11-18_004_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID014,2025-11-19_002,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID014_2025-11-19_002_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID015,2025-11-19_003,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID015_2025-11-19_003_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID016,2025-11-19_004,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID016_2025-11-19_004_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID017,2025-11-20_001,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID017_2025-11-20_001_preprocessed_raw.fif,True,1.0,2.0,True,,False,
PID018,2025-11-20_002,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID018_2025-11-20_002_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID019,2025-11-20_003,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID019_2025-11-20_003_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID020,2025-11-20_004,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID020_2025-11-20_004_preprocessed_raw.fif,True,1.0,2.0,True,,False,
PID021,2025-11-21_001,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID021_2025-11-21_001_preprocessed_raw.fif,True,1.0,2.0,True,,False,
PID022,2025-11-21_002,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID022_2025-11-21_002_preprocessed_raw.fif,True,1.0,2.0,True,,False,
PID023,2025-11-21_003,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID023_2025-11-21_003_preprocessed_raw.fif,True,2.0,4.0,True,,False,
PID024,2025-11-25_001,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID024_2025-11-25_001_preprocessed_raw.fif,True,1.0,2.0,True,,False,
PID025,2025-11-25_002,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID025_2025-11-25_002_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID026,2025-11-25_003,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID026_2025-11-25_003_preprocessed_raw.fif,True,1.0,2.0,True,,False,
PID027,2025-11-25_004,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID027_2025-11-25_004_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID028,2025-11-26_001,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID028_2025-11-26_001_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID029,2025-11-26_001(PID029),/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID029_2025-11-26_001_PID029_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID030,2025-11-26_001(PID030),/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID030_2025-11-26_001_PID030_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID031,2025-11-26_002(PID031),/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID031_2025-11-26_002_PID031_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID032,2025-11-27_001,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID032_2025-11-27_001_preprocessed_raw.fif,True,2.0,4.0,True,,False,
PID033,2025-11-27_002,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID033_2025-11-27_002_preprocessed_raw.fif,True,6.0,12.0,True,,False,
PID034,2025-11-27_003,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID034_2025-11-27_003_preprocessed_raw.fif,True,1.0,2.0,True,,False,
PID035,2025-11-28_001,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID035_2025-11-28_001_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID036,2025-11-28_002,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID036_2025-11-28_002_preprocessed_raw.fif,True,0.0,0.0,True,,False,
PID038,2025-11-28_003,/home/thiago/Documents/fnirs/simple/data_clean/step3/preprocessed/PID038_2025-11-28_003_preprocessed_raw.fif,True,0.0,0.0,True,,False,
