participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_start_time,answer_time,question_window_duration_sec,baseline_start_time,baseline_end_time,source_log,session_primary_candidate,front_roi_mean,back_roi_mean,front_n_channels,back_n_channels,front_channels_used,back_channels_used,included_primary_analysis
PID001,2025-11-06_008,A1,1,1,2022_CH_51,Abstract,365.152219,515.945716,150.79349699999995,363.152219,365.152219,enem_blocks_PID01_20251106_124958.csv,True,2.0297266149746246e-07,1.216449649797402e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A1,2,2,2022_CH_71,Abstract,519.651135,643.958548,124.307413,517.651135,519.651135,enem_blocks_PID01_20251106_124958.csv,True,4.6221723941981224e-09,2.987949906113277e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A1,3,3,2022_CH_47,Abstract,648.432349,825.163337,176.7309879999999,646.432349,648.432349,enem_blocks_PID01_20251106_124958.csv,True,-9.099158499539987e-08,-5.045293112918137e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A2,1,4,2019_CH_65,Abstract,832.580281,934.179038,101.59875699999998,830.580281,832.580281,enem_blocks_PID01_20251106_124958.csv,True,1.1953175889553454e-07,5.804960005265309e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A2,2,5,2020_LC_31,Abstract,939.075431,1065.741703,126.66627199999994,937.075431,939.075431,enem_blocks_PID01_20251106_124958.csv,True,-1.927975107083949e-07,-1.2727217081064892e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A2,3,6,2020_CH_77,Abstract,1070.17199,1168.242417,98.07042699999988,1068.17199,1070.17199,enem_blocks_PID01_20251106_124958.csv,True,-4.29349303880334e-08,3.526213676664897e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A3,1,7,2021_CH_51,Abstract,1256.00103,1306.785933,50.78490300000021,1254.00103,1256.00103,enem_blocks_PID01_20251106_124958.csv,True,1.496667762317853e-08,-8.193094163659752e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A3,2,8,2021_CH_57,Abstract,1311.721529,1392.657509,80.93597999999997,1309.721529,1311.721529,enem_blocks_PID01_20251106_124958.csv,True,1.7083033888581693e-07,1.5986428404218402e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A3,3,9,2021_CH_86,Abstract,1397.853313,1499.339854,101.48654099999999,1395.853313,1397.853313,enem_blocks_PID01_20251106_124958.csv,True,3.197294058812709e-07,2.382723847252795e-07,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
PID001,2025-11-06_008,A4,1,10,2021_CH_65,Abstract,1678.239277,1780.944343,102.70506599999999,1676.239277,1678.239277,enem_blocks_PID01_20251106_124958.csv,True,-2.638835511897347e-07,-5.2211177577132745e-08,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,True
