participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_start_time,answer_time,question_window_duration_sec,baseline_start_time,baseline_end_time,source_log,session_primary_candidate,front_roi_mean,back_roi_mean,front_n_channels,back_n_channels,front_channels_used,back_channels_used,included_primary_analysis
PID001,2025-11-06_008,A1,1,1,2022_CH_51,Abstract,365.152219,515.945716,150.79349699999995,363.152219,365.152219,enem_blocks_PID01_20251106_124958.csv,True,-1.9200841590861796e-07,-1.2500373624910053e-07,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A1,2,2,2022_CH_71,Abstract,519.651135,643.958548,124.307413,517.651135,519.651135,enem_blocks_PID01_20251106_124958.csv,True,1.697262000857768e-08,9.802580464832349e-09,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A1,3,3,2022_CH_47,Abstract,648.432349,825.163337,176.7309879999999,646.432349,648.432349,enem_blocks_PID01_20251106_124958.csv,True,2.3050466251877308e-08,3.235595405875035e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A2,1,4,2019_CH_65,Abstract,832.580281,934.179038,101.59875699999998,830.580281,832.580281,enem_blocks_PID01_20251106_124958.csv,True,6.966084032721925e-08,3.579591786940969e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A2,2,5,2020_LC_31,Abstract,939.075431,1065.741703,126.66627199999994,937.075431,939.075431,enem_blocks_PID01_20251106_124958.csv,True,-4.0325199769188825e-08,-4.755320267748663e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A2,3,6,2020_CH_77,Abstract,1070.17199,1168.242417,98.07042699999988,1068.17199,1070.17199,enem_blocks_PID01_20251106_124958.csv,True,-4.1467532685881125e-08,1.3899630240538353e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A3,1,7,2021_CH_51,Abstract,1256.00103,1306.785933,50.78490300000021,1254.00103,1256.00103,enem_blocks_PID01_20251106_124958.csv,True,2.5284554529403395e-08,3.681249074961275e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A3,2,8,2021_CH_57,Abstract,1311.721529,1392.657509,80.93597999999997,1309.721529,1311.721529,enem_blocks_PID01_20251106_124958.csv,True,-1.785778054658284e-07,-2.749346888837233e-08,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A3,3,9,2021_CH_86,Abstract,1397.853313,1499.339854,101.48654099999999,1395.853313,1397.853313,enem_blocks_PID01_20251106_124958.csv,True,-1.8765245066670952e-07,-1.0267314850502897e-07,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
PID001,2025-11-06_008,A4,1,10,2021_CH_65,Abstract,1678.239277,1780.944343,102.70506599999999,1676.239277,1678.239277,enem_blocks_PID01_20251106_124958.csv,True,-1.7961993719554462e-07,-1.3523670258656308e-07,7,9,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,True
