participant_id,session_id,manual_step4_override,manual_step4_override_reason,included_primary_analysis,step4_inclusion_note,n_valid_abstract_trials,n_valid_concrete_trials,front_hbo_n_channels,back_hbo_n_channels,front_hbr_n_channels,back_hbr_n_channels,front_hbo_channels,back_hbo_channels,front_hbr_channels,back_hbr_channels,front_abstract_hbo_mean,front_concrete_hbo_mean,back_abstract_hbo_mean,back_concrete_hbo_mean,dissociation_hbo,front_abstract_hbr_mean,front_concrete_hbr_mean,back_abstract_hbr_mean,back_concrete_hbr_mean,dissociation_hbr
PID001,2025-11-06_008,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,2.487609165324798e-08,2.6139714718624456e-08,2.6471494998801963e-08,-5.369543599035778e-08,-8.143055405453622e-08,-5.422810999064661e-08,-1.6992782383409426e-08,-2.8503408828994165e-08,8.626809419253238e-09,-1.0510935898977994e-10
PID002,2025-11-06_PID002,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-1.5777044779223423e-07,-1.8759515466140667e-07,-1.2059379171894744e-07,-8.671857216297637e-08,6.369992642514351e-08,6.225303202216428e-08,2.4599509791221246e-09,4.617005568803214e-09,-1.4306374307402995e-08,4.086970116683594e-08
PID003,2025-11-11_003,False,,True,Included in primary ROI analysis.,15,15,7,7,7,7,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D5 hbo;S7_D2 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr,-4.3985273188524977e-07,-2.222768549758071e-07,-1.006717246546102e-07,-1.5343909157392794e-07,-2.703432438287604e-07,-1.4170085125491371e-07,-1.1574042375769688e-08,-3.478397309356544e-08,-1.1122490924208967e-08,-1.0646532670978755e-07
PID004,2025-11-11_004,False,,True,Included in primary ROI analysis.,15,15,5,5,5,5,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S5_D6 hbo;S5_D4 hbo,S6_D2 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S5_D6 hbr;S5_D4 hbr,S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D5 hbr,2.252101976512502e-07,1.197242392034764e-07,1.5169902586974673e-08,5.0476674266643574e-08,1.4079273012744268e-07,3.8715599894746745e-08,1.4135470387209903e-08,-4.082727529948431e-08,1.0347579004019432e-08,7.575498381104058e-08
PID005,2025-11-12_001,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,7.448990240281757e-08,-1.9530361806808027e-08,5.9004338651528305e-08,-2.6804490027866435e-08,8.211435530230869e-09,-2.0651501090349102e-08,-3.802673922091647e-09,6.985935514023786e-09,1.922932775476973e-08,-4.605434927511513e-09
PID007,2025-11-13_001,False,,True,Included in primary ROI analysis.,15,15,5,6,5,6,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S5_D6 hbo;S5_D4 hbo,S4_D2 hbo;S6_D2 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S5_D6 hbr;S5_D4 hbr,S4_D2 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D5 hbr,-4.40774492493445e-08,-5.501827156573461e-08,-9.336626355521969e-08,-4.108565192947056e-08,6.322143394213923e-08,8.27168359181964e-08,6.661526023225972e-10,-3.65243838451319e-08,-1.68094515922637e-08,1.0176561556874201e-07
PID008,2025-11-14_002,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,4.94148299772332e-09,8.256541900760725e-08,-1.2597691940961718e-08,4.54688729531525e-08,-1.955737111576972e-08,4.051101009924011e-08,-1.6230148674541985e-08,3.4807574778631853e-08,-2.90624847095249e-09,1.9027335524197748e-08
PID009,2025-11-14_002 (PID09),False,,True,Included in primary ROI analysis.,14,13,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-2.6458408128394934e-08,9.834794458604632e-08,-4.3080594606614315e-08,6.161513066276958e-08,-2.0110627445057366e-08,1.4605006104382741e-08,-5.061536805701358e-08,5.008204382120732e-08,2.744485242639648e-08,4.258318276658548e-08
PID010,2025-11-14_003,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-2.8167304340835124e-08,-6.161989843342322e-08,-5.192269654894153e-08,8.105066265221175e-08,1.664259532937414e-07,3.1166544418244644e-08,3.71622551611168e-08,6.073688014216418e-08,9.88200512452869e-08,3.2087460360250566e-08
PID011,2025-11-18_002,False,,True,Included in primary ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-2.235767879562161e-07,-2.183182027756989e-07,-1.3996460655834032e-07,-6.54699977574658e-08,6.923602362035734e-08,1.3433887683327948e-07,1.295089585667183e-08,5.713854077058575e-08,4.054454718171172e-08,1.0479398738773363e-07
