participant_id,session_id,manual_step4_override,manual_step4_override_reason,included_step5_analysis,step5_inclusion_note,n_valid_abstract_trials,n_valid_concrete_trials,front_hbo_n_channels,back_hbo_n_channels,front_hbr_n_channels,back_hbr_n_channels,front_hbo_channels,back_hbo_channels,front_hbr_channels,back_hbr_channels,front_abstract_hbo_mean,front_concrete_hbo_mean,back_abstract_hbo_mean,back_concrete_hbo_mean,dissociation_hbo,front_abstract_hbr_mean,front_concrete_hbr_mean,back_abstract_hbr_mean,back_concrete_hbr_mean,dissociation_hbr
PID001,2025-11-06_008,False,,True,Included in Step 5 fixed-window onset-locked ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,6.049304034932889e-08,3.4273438559101177e-09,-4.1530459254212983e-08,-1.0064670508241295e-07,-2.0505493347811976e-09,7.846428311454568e-09,2.496435108401142e-08,1.8821691883203777e-08,2.142470610788643e-08,-1.45149085478742e-08
PID002,2025-11-06_PID002,False,,True,Included in Step 5 fixed-window onset-locked ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-1.0186557774146547e-07,-1.0998248717752894e-07,-7.780116238285949e-08,-2.449851638593068e-08,6.141955543299229e-08,1.5271978646151774e-08,-3.534338488706106e-08,1.2484629392899144e-09,-1.740459253942601e-08,3.196230805449691e-08
PID003,2025-11-11_003,False,,True,Included in Step 5 fixed-window onset-locked ROI analysis.,15,15,7,7,7,7,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D5 hbo;S7_D2 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S8_D1 hbr;S8_D5 hbr,-9.518362355187448e-08,-3.462402707538689e-07,-3.0619007758256683e-09,-1.6820367530090658e-07,8.591487267691352e-08,-8.884645101318318e-08,-4.767789334417281e-08,-4.5165076264060985e-08,-3.610841515788615e-08,-3.2111896562835536e-08
PID004,2025-11-11_004,False,,True,Included in Step 5 fixed-window onset-locked ROI analysis.,15,15,5,5,5,5,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S5_D6 hbo;S5_D4 hbo,S6_D2 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S5_D6 hbr;S5_D4 hbr,S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D5 hbr,8.456051344265056e-08,6.142233328759266e-08,-6.487449398533932e-08,-2.253535465587272e-08,6.54773194845245e-08,5.260713392704767e-08,4.32330514619224e-08,1.5394413611084185e-08,3.7476230266906876e-08,3.1455899120947965e-08
PID005,2025-11-12_001,False,,True,Included in Step 5 fixed-window onset-locked ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,2.7834375887574442e-08,-3.472167774053724e-08,6.286135013520435e-09,3.8031565776928646e-08,9.43014843915199e-08,6.968607682975266e-08,2.5798789122170663e-08,4.954383243373333e-08,9.06123435161981e-09,3.404689625468474e-09
PID007,2025-11-13_001,False,,True,Included in Step 5 fixed-window onset-locked ROI analysis.,15,15,5,6,5,6,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S5_D6 hbo;S5_D4 hbo,S4_D2 hbo;S6_D2 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S5_D6 hbr;S5_D4 hbr,S4_D2 hbr;S6_D2 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D5 hbr,1.4772426241516873e-07,3.522097914990067e-08,-4.155962684317486e-08,-1.3233064904228578e-07,2.1732261066157157e-08,8.02184979638019e-09,-5.2078335112464114e-08,2.3981905094147403e-09,-2.9252310097167288e-08,2.844968430226227e-08
PID008,2025-11-14_002,False,,True,Included in Step 5 fixed-window onset-locked ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-5.606579619329296e-08,-1.5396642609053796e-09,-5.688537431756292e-09,1.1166042237418082e-08,-3.76715522632132e-08,7.096789407070555e-09,3.647030191215492e-08,1.0019041268418433e-08,2.8131434861269667e-08,-1.1261118912233132e-08
PID009,2025-11-14_002 (PID09),False,,True,Included in Step 5 fixed-window onset-locked ROI analysis.,14,13,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-1.2181759183424353e-08,7.817386260815719e-08,8.802833381217916e-08,1.2112720420587294e-07,-5.725675139788776e-08,-5.752715498529147e-09,-6.749091076871748e-09,1.740850475830409e-08,2.4938496785018688e-08,8.526367605057198e-09
PID010,2025-11-14_003,False,,True,Included in Step 5 fixed-window onset-locked ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-4.534752631712798e-08,-3.280210208567492e-08,-8.760354090802698e-08,-2.763503073092353e-08,4.7423085945650384e-08,4.084559841437047e-08,3.2719695524597405e-08,6.049835714241e-08,9.160335370078457e-08,3.9230899448147636e-08
PID011,2025-11-18_002,False,,True,Included in Step 5 fixed-window onset-locked ROI analysis.,15,15,7,9,7,9,S2_D6 hbo;S2_D4 hbo;S1_D6 hbo;S1_D3 hbo;S5_D6 hbo;S5_D4 hbo;S5_D3 hbo,S4_D2 hbo;S3_D1 hbo;S6_D2 hbo;S6_D1 hbo;S6_D5 hbo;S7_D2 hbo;S7_D5 hbo;S8_D1 hbo;S8_D5 hbo,S2_D6 hbr;S2_D4 hbr;S1_D6 hbr;S1_D3 hbr;S5_D6 hbr;S5_D4 hbr;S5_D3 hbr,S4_D2 hbr;S3_D1 hbr;S6_D2 hbr;S6_D1 hbr;S6_D5 hbr;S7_D2 hbr;S7_D5 hbr;S8_D1 hbr;S8_D5 hbr,-1.1129457510358943e-07,-5.7445379360911634e-08,-4.801619441801557e-08,3.1556285171287634e-08,2.572328384662541e-08,-5.459520180287811e-08,-5.941494847785666e-08,-4.504066112151638e-08,-2.3873610967564135e-08,2.5986796828930795e-08
