analysis_label,chromophore,roi,test_scope,window_label,window_start_sec,window_end_sec,timepoint_sec,n_included_participants,n_valid_abstract_trials,n_valid_concrete_trials,abstract_mean,concrete_mean,mean_difference_abstract_minus_concrete,t_stat,df,p_value,ci_low,ci_high,cohens_dz,alpha,front_abstract_mean,front_concrete_mean,back_abstract_mean,back_concrete_mean,mean_dissociation
HBO front ROI sensitivity: timepoint_9s,hbo,Front,sensitivity,timepoint_9s,,,9.0,36,539,536,2.389317208428509e-08,-9.23220520506615e-09,3.3125377289351244e-08,1.7890402743693035,35,0.08226610778607346,-4.4635423257217014e-09,7.071429690442419e-08,0.2981733790615506,0.05,,,,,
HBO back ROI sensitivity: timepoint_9s,hbo,Back,sensitivity,timepoint_9s,,,9.0,36,539,536,-6.235398915735398e-08,-6.754747708222897e-08,5.1934879248749925e-09,0.315981741699801,35,0.7538930626177579,-2.8173443198562707e-08,3.856041904831269e-08,0.05266362361663349,0.05,,,,,
HBO dissociation sensitivity: timepoint_9s,hbo,,sensitivity,timepoint_9s,,,9.0,36,539,536,,,,1.5179872711414208,35,0.13799952011028793,-9.423331675813926e-09,6.528711040476644e-08,0.25299787852357014,0.05,2.389317208428509e-08,-9.23220520506615e-09,-6.235398915735398e-08,-6.754747708222897e-08,2.793188936447626e-08
HBR front ROI sensitivity: timepoint_9s,hbr,Front,sensitivity,timepoint_9s,,,9.0,36,539,536,1.24372556047455e-09,-8.857792758034253e-10,2.129504836277977e-09,0.31118232762730497,35,0.7575079439152943,-1.176307281855936e-08,1.6022082491115314e-08,0.051863721271217494,0.05,,,,,
HBR back ROI sensitivity: timepoint_9s,hbr,Back,sensitivity,timepoint_9s,,,9.0,36,539,536,4.436467406895223e-09,6.5601862877461046e-09,-2.1237188808508803e-09,-0.4150227983168924,35,0.6806583600978855,-1.2512012138172966e-08,8.264574376471205e-09,-0.06917046638614872,0.05,,,,,
HBR dissociation sensitivity: timepoint_9s,hbr,,sensitivity,timepoint_9s,,,9.0,36,539,536,,,,0.5263077791046389,35,0.6019939191131266,-1.2152582032987171e-08,2.065902946724488e-08,0.08771796318410649,0.05,1.24372556047455e-09,-8.857792758034253e-10,4.436467406895223e-09,6.5601862877461046e-09,4.253223717128855e-09
HBO front ROI sensitivity: window_6_10,hbo,Front,sensitivity,window_6_10,6.0,10.0,,36,539,536,1.826512541313688e-08,-5.931974235418084e-09,2.4197099648554966e-08,1.7777222343121335,35,0.08413981027885988,-3.435295834309889e-09,5.1829495131419825e-08,0.29628703905202225,0.05,,,,,
HBO back ROI sensitivity: window_6_10,hbo,Back,sensitivity,window_6_10,6.0,10.0,,36,539,536,-6.065756024971906e-08,-7.204173525442228e-08,1.138417500470323e-08,0.8074873403194104,35,0.42483974591718765,-1.7236835851634852e-08,4.000518586104131e-08,0.1345812233865684,0.05,,,,,
HBO dissociation sensitivity: window_6_10,hbo,,sensitivity,window_6_10,6.0,10.0,,36,539,536,,,,0.7735395352796064,35,0.44439662529173407,-2.081382449723172e-08,4.6439673784935184e-08,0.12892325587993442,0.05,1.826512541313688e-08,-5.931974235418084e-09,-6.065756024971906e-08,-7.204173525442228e-08,1.2812924643851734e-08
HBR front ROI sensitivity: window_6_10,hbr,Front,sensitivity,window_6_10,6.0,10.0,,36,539,536,6.2279887221695126e-09,8.125548883177307e-09,-1.897560161007792e-09,-0.28225487559297935,35,0.7794105053128401,-1.5545692612576094e-08,1.1750572290560509e-08,-0.04704247926549655,0.05,,,,,
HBR back ROI sensitivity: window_6_10,hbr,Back,sensitivity,window_6_10,6.0,10.0,,36,539,536,5.337718786010133e-09,6.669039905827524e-09,-1.3313211198173907e-09,-0.2915387504336839,35,0.772360267392832,-1.0601874541508058e-08,7.939232301873275e-09,-0.048589791738947306,0.05,,,,,
HBR dissociation sensitivity: window_6_10,hbr,,sensitivity,window_6_10,6.0,10.0,,36,539,536,,,,-0.07863843388983305,35,0.937768101089423,-1.5184108573230093e-08,1.4051630490849288e-08,-0.013106405648305508,0.05,6.2279887221695126e-09,8.125548883177307e-09,5.337718786010133e-09,6.669039905827524e-09,-5.662390411904023e-10
HBO front ROI sensitivity: window_8_12,hbo,Front,sensitivity,window_8_12,8.0,12.0,,36,539,536,2.6080790532365332e-08,-7.096331425623473e-09,3.3177121957988806e-08,1.8261253635906647,35,0.07637220588054026,-3.7059637634683477e-09,7.006020767944596e-08,0.30435422726511074,0.05,,,,,
HBO back ROI sensitivity: window_8_12,hbo,Back,sensitivity,window_8_12,8.0,12.0,,36,539,536,-5.49967476830546e-08,-6.390024698907558e-08,8.90349930602098e-09,0.5534037408961285,35,0.5835051208737277,-2.3758124016321584e-08,4.1565122628363545e-08,0.09223395681602144,0.05,,,,,
HBO dissociation sensitivity: window_8_12,hbo,,sensitivity,window_8_12,8.0,12.0,,36,539,536,,,,1.3189982480228362,35,0.19573476430280215,-1.3086604222468346e-08,6.163384952640398e-08,0.21983304133713932,0.05,2.6080790532365332e-08,-7.096331425623473e-09,-5.49967476830546e-08,-6.390024698907558e-08,2.4273622651967816e-08
HBR front ROI sensitivity: window_8_12,hbr,Front,sensitivity,window_8_12,8.0,12.0,,36,539,536,-2.3017819376612207e-09,-6.559642554857718e-09,4.257860617196499e-09,0.6596862177455372,35,0.5137730115587797,-8.845212273875715e-09,1.7360933508268712e-08,0.10994770295758952,0.05,,,,,
HBR back ROI sensitivity: window_8_12,hbr,Back,sensitivity,window_8_12,8.0,12.0,,36,539,536,4.267968585181564e-09,6.249940973874628e-09,-1.981972388693065e-09,-0.42492148674523794,35,0.6734949548002627,-1.1451057820636462e-08,7.487113043250332e-09,-0.07082024779087298,0.05,,,,,
HBR dissociation sensitivity: window_8_12,hbr,,sensitivity,window_8_12,8.0,12.0,,36,539,536,,,,0.8658116393887978,35,0.39248985282024773,-8.390987232513513e-09,2.0870653244292637e-08,0.14430193989813295,0.05,-2.3017819376612207e-09,-6.559642554857718e-09,4.267968585181564e-09,6.249940973874628e-09,6.239833005889563e-09
