participant_id,session_id,2017_CH_47,2017_CH_68,2017_CH_69,2017_CH_75,2018_CH_77,2018_LC_44,2019_CH_56,2019_CH_64,2019_CH_65,2020_CH_56,2020_CH_59,2020_CH_70,2020_CH_76,2020_CH_77,2020_CH_78,2020_CH_82,2020_CH_84,2020_LC_31,2021_CH_46,2021_CH_51,2021_CH_57,2021_CH_65,2021_CH_76,2021_CH_83,2021_CH_86,2021_LC_26,2022_CH_47,2022_CH_51,2022_CH_60,2022_CH_71
PID001,2025-11-06_008,1.163212429873775e-07,-1.8606558267974226e-07,6.09610047937496e-08,-2.386323572513356e-08,-1.6103552806233825e-08,-3.1788296057444664e-08,7.316194238337355e-08,-1.2393192223121171e-08,6.172946619531564e-08,-3.541199082832438e-07,-1.9681711928125282e-08,-2.428982112635964e-07,-2.8115402228972533e-08,4.1121852997990426e-08,-1.6861800888120857e-07,-1.1120752970716993e-07,-6.76736010184538e-08,-1.3754825263337182e-07,1.1601174060948752e-07,-9.411022250872677e-08,1.4738391793951498e-07,-5.37424176241253e-08,-8.380119477029275e-08,1.0676802892598257e-07,2.497604948482099e-07,1.728375792212165e-07,-5.217381423684812e-08,1.2665671767574605e-07,-7.544987705544276e-08,3.211223736927224e-08
PID002,2025-11-06_PID002,-1.4016636564426338e-07,-2.129215601478962e-07,2.9681930609169722e-08,-2.9710951628580108e-08,-8.864752323193832e-08,-1.9725910098874687e-08,1.0598707583608674e-07,-2.243398458365667e-07,-2.044626379131118e-07,-2.1545124417568805e-08,9.871925225164917e-08,-8.417004239092901e-08,4.171970876258812e-09,-3.5719809224172306e-08,-2.534502755705363e-07,5.968919476278418e-08,-1.397797766232877e-07,-1.939489015524172e-09,-3.388643440892744e-07,-1.9924867440804414e-07,7.675914965186638e-08,-5.3274024683731896e-08,-1.0806844030065753e-07,-3.745422382737056e-08,-2.844448984612169e-07,-7.040201018369555e-08,2.278240701069945e-09,-3.355171315886559e-07,-2.8331336082030014e-07,-3.199129963798665e-07
PID003,2025-11-11_003,-1.556653258707068e-07,1.2955853403477084e-07,-4.4707580180372475e-07,7.145047490299178e-09,-2.4883096477043426e-07,-4.883470938664908e-07,-5.930459074776495e-07,-5.314174060736647e-08,1.3466642358138798e-07,-1.2899536992964565e-07,1.0040441880031754e-07,-3.1870469228746725e-07,-2.12913322221816e-08,-6.948642408793366e-08,1.085739971811561e-07,-1.645616217952372e-07,-6.08717163191074e-08,2.2228173573498547e-07,1.0152946456191285e-07,1.973195922380515e-07,-1.8177821290870973e-07,3.1493547588213065e-08,-2.584761220033267e-07,3.15243805712266e-07,-7.280914952046671e-07,-4.804991217150872e-07,-2.531683251336267e-08,-1.27704072800371e-07,-5.0754519516976265e-08,-6.093303328814711e-07
PID004,2025-11-11_004,1.7708968486555524e-08,-3.9040110012562974e-08,-1.805098626074249e-08,-2.8903369447631145e-07,2.1405135199668754e-07,1.3398066650679394e-07,-1.3866326675553937e-07,-1.7117662700265605e-07,2.3306621814365814e-07,1.1867689033697657e-07,3.45146607640168e-07,-4.167198030314899e-08,2.090858986009474e-07,3.4591485916093894e-08,1.1371425409341002e-07,2.3723475222693658e-07,-9.836881295552895e-08,-1.700534078861202e-07,-1.976493018941216e-08,2.2412040616630743e-08,-1.266755253228093e-07,6.320326589303255e-08,-1.1764880547954203e-07,-2.316549921422007e-07,4.3470074625574773e-07,2.79588511430905e-07,1.016185737536907e-07,-1.5942600686543949e-07,1.9009962690729978e-08,1.1326325844233433e-07
PID005,2025-11-12_001,-3.9623180178984686e-07,-2.971107923191366e-07,-5.507130690622147e-07,-1.612962094071507e-07,1.38054422908548e-07,2.545047503600266e-07,6.37021718828823e-08,-4.3848689620214836e-08,1.3167022283510288e-07,-7.605983681528009e-07,2.1994319688574865e-07,3.4762607527265525e-07,-1.4395919886119212e-08,-2.045301612715916e-07,4.2644081304193764e-07,-1.2534710622865157e-07,3.268969557884896e-07,-3.808919880889236e-07,-4.997939873201709e-08,2.644920021973308e-07,-3.3246368178735304e-08,1.0053947673211658e-06,4.948814446854545e-07,-1.2531660959082866e-07,-2.671345598441044e-07,-3.94951737315454e-07,3.5550581460953777e-07,6.632103393269629e-08,-2.7467912279600487e-10,2.123332356808356e-07
PID007,2025-11-13_001,-1.833161434547141e-07,-3.3668813665343446e-08,-5.852586853602629e-08,-3.9423695697017895e-08,1.0644710745433756e-08,9.536775440323578e-08,9.151150874388852e-08,-1.43162389804268e-07,-1.47366337220883e-07,-3.8787070340443695e-08,-2.0562177271203845e-07,-1.359886853530032e-07,-2.2053166082590934e-07,-4.2630014375696246e-08,-6.161627565198216e-08,-1.9761452245745158e-07,4.24669670116602e-08,-3.1567314383219615e-07,4.880716535131008e-08,-1.286442160730752e-07,2.6111778251070394e-08,-5.3823033096519364e-08,8.076698823711008e-09,-1.1831580139682757e-07,-6.91753610704006e-08,8.071681047709282e-08,-3.1253498302796705e-08,-5.144444399061532e-08,2.8720706294392543e-08,-2.715510357355311e-07
PID008,2025-11-14_002,2.0480575922343373e-07,2.1894443772441162e-07,5.11196074297794e-07,2.643948320028196e-07,2.6252868366492176e-07,1.3127692397533986e-07,6.822044209955754e-07,-1.2505992273198606e-06,1.5958397116161697e-07,-1.412695338355141e-06,5.644407116503901e-07,-3.705339764771798e-07,-4.217464482980115e-07,-7.594368411520491e-07,-2.101703535983289e-07,5.757169434292888e-07,-3.446751062775126e-07,2.2086065434267295e-07,-7.702118435878958e-08,3.6215344401573093e-07,2.422284227573012e-07,-6.126577525772962e-07,-2.663454626398245e-07,2.2765571186843434e-07,-3.31062955574466e-07,1.9322976074187266e-07,2.671526763579666e-07,2.765108289288788e-07,-1.729304022363191e-07,6.967772151642112e-07
PID009,2025-11-14_002 (PID09),-1.862334576257301e-07,2.0590007019732043e-08,1.229715488512161e-07,-1.1617121207906189e-07,5.807117541047033e-07,-6.841507966638238e-08,-6.664480037632872e-08,-5.306161064358217e-07,3.318070675140296e-07,1.6386142149354294e-07,-5.562297959227032e-08,5.0682248427230425e-08,3.570103634252415e-08,,,3.699883888317994e-08,6.556765239718971e-09,6.6711109699199224e-09,3.5230437875227566e-08,4.111981497458877e-07,4.140869934899148e-08,-8.107008299529028e-08,2.622078872145579e-07,-2.3166835812555938e-07,-4.072780252846416e-08,,-2.234729992540021e-07,-4.8886626681247635e-08,1.0388474106145701e-07,-2.898736421491571e-07
PID010,2025-11-14_003,4.8906744681761454e-08,-2.6083957345953e-07,-4.798910842517165e-08,8.212387355653687e-08,1.5644673085105058e-07,8.069738382955426e-08,-3.014363940908668e-07,-3.161134740431816e-07,-3.1759911324510216e-07,3.125519117587018e-07,4.56813706862941e-07,2.92455072224575e-07,-8.30289390161268e-08,4.3344232175046404e-07,2.4161698299929736e-07,3.2204991280077256e-07,4.898700813941619e-07,1.970283965779349e-08,-3.510918330263159e-07,1.2753461283625652e-07,7.970134371699836e-08,-7.450416185423482e-08,-4.666410767779981e-07,1.59535231857903e-08,-3.214696004836742e-07,5.513479471235563e-08,-2.6846011042164706e-08,-2.730157063733084e-07,1.535461014293907e-07,2.943247199568737e-07
PID011,2025-11-18_002,1.8205971416750746e-07,-3.120346583380247e-07,-3.003447060103544e-07,-8.010276664863651e-07,2.323199803299452e-07,-4.1024963634169197e-08,-1.550131466119946e-07,1.5111167548710678e-07,-5.54218749621143e-07,4.087132451041522e-07,-2.196045596392592e-07,3.0183735903099173e-07,-2.0333915270030854e-07,5.678176519656225e-08,7.863579299247037e-09,-3.933421545200876e-08,1.629743867789538e-08,-2.2910759933317127e-07,2.818796466909461e-07,-3.959738828483066e-07,-6.9248586439063106e-09,-2.521355513353635e-07,-4.1813097307956645e-07,2.274342245235816e-08,-2.323911184152479e-07,-3.13637060329695e-07,-5.326549255223957e-08,-2.3802987476970761e-07,2.7512816354580385e-07,-4.573244427510342e-07
PID012,2025-11-18_003,-8.538932266299467e-08,-9.129931308465477e-09,-1.8470186046000697e-07,3.313703464416923e-08,2.294783042175039e-07,1.909218889718967e-07,4.469187790119441e-07,3.3127076382510537e-07,-2.79563205992309e-07,-1.0083937478846605e-07,-4.520967709538494e-09,4.0534599241445966e-07,1.6091155712287114e-07,1.5245671708609034e-07,-1.1209919516926874e-07,2.3392260303333915e-07,2.2858467806286305e-07,1.7808227619037827e-07,1.7153595239030025e-07,-2.1773960631845447e-07,1.1560372908270513e-08,1.4710206997343321e-07,-1.1683340032795848e-07,-4.551237057601587e-07,1.8815762611290897e-07,-2.339268760982354e-09,2.132573056928633e-07,-8.737524396175753e-08,2.1536824254556482e-07,-2.76168506266408e-07
PID013,2025-11-18_004,-4.463137864443777e-08,3.339187210800284e-07,5.5651102657800916e-08,-1.0052999070787593e-07,1.9223271657962806e-07,-7.501029900417866e-08,-2.003512193431751e-08,-1.2471470819131834e-07,-9.01027629603041e-08,-1.464728313599573e-07,-1.7950185442163938e-07,-1.3819115967046365e-07,-1.196642127380835e-07,-8.643018242273658e-09,-7.249574668857015e-08,7.48817857191703e-08,-5.7900889532204695e-08,6.292318472158707e-08,-1.0946646701014577e-07,1.4999504091090588e-08,-5.322069158818038e-08,-1.9562366354750246e-07,9.212768239402293e-08,-4.079407377174146e-08,-1.6671211627171955e-08,-2.3131945508986933e-08,-2.855078256607028e-07,4.8459918891553454e-08,-6.44427108272742e-08,-1.905367822895329e-07
PID014,2025-11-19_002,-4.945487596405788e-07,-7.716163270401228e-07,-5.383913153761767e-07,5.671361538191206e-07,-4.694879413487887e-07,-1.296188252953535e-07,3.406564655321656e-08,-2.4157991487313615e-07,-1.624765046109238e-07,2.519071614727293e-07,1.0331860373295083e-07,-3.22536768270616e-07,-2.9568460486162466e-08,1.1566958935575529e-07,-5.182421842072046e-07,-3.28318281132217e-08,-1.1074483822411433e-07,-6.832599020795922e-07,-5.334849134672417e-07,-1.903185445976437e-07,-3.96389787328453e-07,3.076665065019007e-07,1.3715873189526538e-07,6.863553247727395e-08,-2.949883595423346e-07,2.731994156278655e-07,-2.6455013788198004e-08,-1.6848493478902478e-07,-5.7587314805917835e-08,-1.8380789750512754e-07
PID015,2025-11-19_003,-5.452143392745739e-07,2.127548069843357e-07,-5.7126355125104796e-08,-1.936102213417511e-07,1.084123765894155e-07,-3.626614907721009e-08,1.9335840762978805e-07,-1.251885626160419e-07,-1.4130805632644721e-07,1.1470634493235473e-07,-4.359888040168796e-07,-1.6072793182593097e-07,-5.7315065490546384e-08,-1.0041804277728209e-06,-1.5864505128795806e-07,-2.0466945420399227e-07,7.490701591832506e-08,-2.572315837953095e-07,2.780860164082998e-07,1.3372977332926838e-07,-1.3909548995104625e-07,-1.0131872204213549e-08,-5.077813612027731e-07,-5.883044588541707e-07,-6.767387067651057e-07,-3.116273172005025e-07,-4.094674756648967e-07,1.0774708962795597e-08,-2.8349218371847096e-07,-6.014107510226943e-07
PID016,2025-11-19_004,-4.799689921356401e-08,2.6012999858032465e-07,3.459318920056355e-07,-4.88565277238043e-07,-3.467171699321167e-07,4.053958433797153e-07,-5.120220394376319e-07,-4.83665546445472e-07,6.325060382418498e-08,-2.465714045055983e-07,-4.238376291885069e-07,-1.1246082058553449e-07,2.509614593854943e-07,-2.521343899353119e-07,-1.7082603945241314e-07,-2.150013446820189e-07,-3.0555571583002734e-07,5.411480620839493e-07,4.8450039182212665e-08,3.215841301760895e-07,-9.50308418731477e-08,1.2588111969861358e-07,-8.947155308095086e-08,-4.353165499508116e-08,-5.971166113874121e-07,-4.704719753888096e-07,-4.5482580541082885e-07,2.051970566655599e-07,3.852936620664056e-07,4.0705125221639534e-08
PID017,2025-11-20_001,-9.952679004567569e-08,2.8112373764964253e-07,-2.927957339840116e-07,-4.914206863512592e-08,-1.307078248085539e-07,-3.052345404532108e-08,-1.862083489608134e-07,-1.0848473875442245e-07,-4.802909485953505e-07,-1.0310177473297037e-07,4.1139776276552384e-08,-4.944191566705218e-07,-2.91762094440337e-07,-4.10266682804565e-07,-4.949227903736706e-07,-8.199872328101368e-08,-3.165551128726228e-07,-4.238156612739684e-08,-1.3443423761825714e-07,7.27536475785835e-08,-1.454612517879997e-07,2.677605289254688e-07,5.236440689100049e-07,-2.3018884523829802e-07,-4.922760208828376e-07,-2.984266146945189e-08,-2.398042307562942e-07,-8.07350638325854e-08,-3.250941111046565e-07,-4.216034064404389e-08
