participant_id,concrete_value,abstract_value,pair_difference,concrete_question_id,abstract_question_id,word_count_difference,enem_correctness_difference
PID001,1.163212429873775e-07,7.316194238337355e-08,4.315930060400395e-08,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID002,-1.4016636564426338e-07,1.0598707583608674e-07,-2.461534414803501e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID003,-1.556653258707068e-07,-5.930459074776495e-07,4.3738058160694263e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID004,1.7708968486555524e-08,-1.3866326675553937e-07,1.563722352420949e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID005,-3.9623180178984686e-07,6.37021718828823e-08,-4.5993397367272916e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID007,-1.833161434547141e-07,9.151150874388852e-08,-2.748276521986026e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID008,2.0480575922343373e-07,6.822044209955754e-07,-4.773986617721417e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID009,-1.862334576257301e-07,-6.664480037632872e-08,-1.1958865724940136e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID010,4.8906744681761454e-08,-3.014363940908668e-07,3.5034313877262825e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID011,1.8205971416750746e-07,-1.550131466119946e-07,3.3707286077950207e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID012,-8.538932266299467e-08,4.469187790119441e-07,-5.323081016749387e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID013,-4.463137864443777e-08,-2.003512193431751e-08,-2.4596256710120262e-08,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID014,-4.945487596405788e-07,3.406564655321656e-08,-5.286144061937953e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID015,-5.452143392745739e-07,1.9335840762978805e-07,-7.38572746904362e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID016,-4.799689921356401e-08,-5.120220394376319e-07,4.640251402240679e-07,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
PID017,-9.952679004567569e-08,-1.862083489608134e-07,8.66815589151377e-08,2017_CH_47,2019_CH_56,-10.0,0.1353068115443753
