concrete_question_id,abstract_question_id,n_participants,mean_difference,sd_difference,paired_t_stat,raw_p_value,cohens_dz,word_count_difference,enem_correctness_difference,matching_distance,matched_pair_flag,tested_flag,min_pair_n_threshold,fdr_q_value,fdr_reject,matching_distance_meta,matched_pair_rule,matched_subset_fdr_q_value,matched_subset_fdr_reject
2020_CH_59,2022_CH_71,36,1.0661133219133202e-07,2.991879882502954e-07,2.13801361775546,0.03957569729094493,0.3563356029592433,9.0,0.01418405374085091,0.4487089152587812,True,True,10,0.8531379721397055,False,0.4487089152587812,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.2794467212210595,False
2017_CH_47,2021_CH_86,36,1.0802801591587585e-07,3.1415907957904967e-07,2.063184347126791,0.04657445353684325,0.3438640578544651,2.0,-0.027924565943499347,0.2905760934350587,True,True,10,0.8531379721397055,False,0.2905760934350587,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.2794467212210595,False
2021_CH_46,2021_CH_86,36,1.040141670309067e-07,4.047783005371243e-07,1.5417946104257687,0.13211743230197442,0.25696576840429475,5.0,0.015505168981144624,0.30992588228774065,True,True,10,0.8588200857595899,False,0.30992588228774065,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.5284697292078977,False
2020_CH_82,2021_CH_83,36,5.806547128288094e-08,3.096577430942333e-07,1.125089991989203,0.2682074590718309,0.18751499866486715,-15.0,0.005895723752794568,0.36557076185092896,True,True,10,0.8590367464771348,False,0.36557076185092896,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.6318254286553535,False
2020_CH_70,2020_CH_77,34,-6.635714652892094e-08,3.484848951054935e-07,-1.1103073181183611,0.27489175887268313,-0.19041613413067238,-10.0,-0.04804612041816972,0.6895991622789247,True,True,10,0.8590367464771348,False,0.6895991622789247,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.6318254286553535,False
2017_CH_75,2022_CH_51,36,-6.309239972275094e-08,3.720551480198896e-07,-1.0174685133405776,0.31591271432767676,-0.16957808555676293,18.0,-0.05791094416578421,0.8728980969347016,True,True,10,0.8662173995604903,False,0.8728980969347016,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.6318254286553535,False
2020_CH_59,2021_CH_51,36,3.111344254989189e-08,2.930469063322688e-07,0.6370333597300802,0.5282482332789418,0.10617222662168005,12.0,-0.010763936495410686,0.5481644836753727,True,True,10,0.8847958091449178,False,0.5481644836753727,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.7875265007602943,False
2017_CH_47,2021_CH_51,36,-3.742531635194761e-08,3.5559536835518184e-07,-0.631481504245564,0.5318286887039108,-0.10524691737426067,6.0,0.058901186335785394,0.6912902907740552,True,True,10,0.8847958091449178,False,0.6912902907740552,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.7875265007602943,False
2020_CH_82,2022_CH_60,36,-3.0129855470103057e-08,3.329927327985077e-07,-0.5428921265077786,0.5906448755702207,-0.09048202108462976,16.0,-0.012212541990097692,0.48987198412603117,True,True,10,0.8990460079597996,False,0.48987198412603117,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.7875265007602943,False
2020_CH_59,2019_CH_56,36,-6.455346331305579e-09,3.570624805876733e-07,-0.1084742309639648,0.9142390228237172,-0.018079038493994136,-4.0,0.06564168871317921,0.6351864642360118,True,True,10,0.9821340934096459,False,0.6351864642360118,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.9885510211981982,False
2020_CH_82,2020_LC_31,36,1.1193054966868949e-09,3.106773828311807e-07,0.021616742483538603,0.9828764486539705,0.0036027904139231,-22.0,-0.007252273021785383,0.5120896618291062,True,True,10,0.9961585628249701,False,0.5120896618291062,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.9885510211981982,False
2020_CH_82,2022_CH_47,36,-7.338113201848344e-10,3.046433730594446e-07,-0.01445253142023832,0.9885510211981982,-0.0024087552367063865,-9.0,-0.03302396234262961,0.4480680716482399,True,True,10,0.9971650130013974,False,0.4480680716482399,|z(log word count difference)| <= 0.5 and |z(ENEM correctness difference)| <= 0.5,0.9885510211981982,False
