global_block_order,condition,n_trials,n_participants,mean_front_roi_variable,sem_front_roi_variable,mean_front_roi_fixed,sem_front_roi_fixed,mean_response_time_sec,sem_response_time_sec,summary_type,within_block_position,block_half,block_half_label,order_condition,order_condition_label
,Abstract,194,13,-3.783524664981309e-08,2.1194989944731394e-08,-3.291022183150427e-09,1.5412309798131335e-08,101.17028577835052,3.3160028809818036,block_half,,0.0,Early blocks (1-5),,
,Concrete,343,23,-5.8174102811567414e-08,1.9856667809659693e-08,-1.3569663844317788e-08,2.0390551202161502e-08,91.03634234110788,2.4684694813596244,block_half,,0.0,Early blocks (1-5),,
,Abstract,345,23,-2.493399903977577e-08,2.0853383845442512e-08,3.892098365889463e-08,1.623001802403971e-08,85.47072516231883,1.9215932751242066,block_half,,1.0,Late blocks (6-10),,
,Concrete,193,13,-3.813556574662468e-08,1.875994592866503e-08,2.745873175843111e-09,1.6236559131505204e-08,86.01609415544041,2.8801733393157836,block_half,,1.0,Late blocks (6-10),,
,Abstract,194,13,-3.783524664981309e-08,2.1194989944731394e-08,-3.291022183150427e-09,1.5412309798131335e-08,101.17028577835052,3.3160028809818036,condition_order,,,,AbstractFirst,Abstract First
,Concrete,193,13,-3.813556574662468e-08,1.875994592866503e-08,2.745873175843111e-09,1.6236559131505204e-08,86.01609415544041,2.8801733393157836,condition_order,,,,AbstractFirst,Abstract First
,Abstract,345,23,-2.493399903977577e-08,2.0853383845442512e-08,3.892098365889463e-08,1.623001802403971e-08,85.47072516231883,1.9215932751242066,condition_order,,,,ConcreteFirst,Concrete First
,Concrete,343,23,-5.8174102811567414e-08,1.9856667809659693e-08,-1.3569663844317788e-08,2.0390551202161502e-08,91.03634234110788,2.4684694813596244,condition_order,,,,ConcreteFirst,Concrete First
1.0,Abstract,39,13,-9.652653703108749e-08,3.297937244186092e-08,-6.795190269598239e-09,3.1794648429898346e-08,104.41011448717948,6.207624414078993,global_block_order,,,,,
1.0,Concrete,69,23,-2.8638331630504404e-08,4.143060314948524e-08,4.2450139886328454e-08,2.890376623386865e-08,89.16852601449276,5.905568252319011,global_block_order,,,,,
2.0,Abstract,39,13,-6.707179809796393e-08,4.5453028897781814e-08,-2.7807285363009214e-09,3.1495927583680404e-08,104.69813502564102,6.6147609877186,global_block_order,,,,,
2.0,Concrete,68,23,-8.079013788394944e-08,5.021237634144759e-08,-4.5617801952968113e-08,4.846592966011306e-08,95.34130164705883,5.787479296955503,global_block_order,,,,,
3.0,Abstract,38,13,-2.568095938199137e-08,4.903297261831872e-08,-1.6258571295504003e-08,3.592369056689684e-08,103.94799644736842,10.150076478554176,global_block_order,,,,,
3.0,Concrete,69,23,-7.552689655985825e-08,5.462402076283906e-08,-4.144930821562678e-09,6.375314846976123e-08,95.74442927536234,5.925692622760679,global_block_order,,,,,
4.0,Abstract,39,13,2.5913434253570706e-08,4.920855347017789e-08,4.178110973467989e-09,3.749481283292991e-08,94.89250897435896,6.651011018704646,global_block_order,,,,,
4.0,Concrete,68,23,-6.087593543454556e-08,3.4780113373264296e-08,-5.9526474570068664e-08,4.280251509511787e-08,92.07623270588235,4.936192931800723,global_block_order,,,,,
5.0,Abstract,39,13,-2.5498724600110776e-08,5.714539610372793e-08,4.868766952891923e-09,3.688313544172574e-08,97.97389730769228,7.171570620531682,global_block_order,,,,,
5.0,Concrete,69,23,-4.540613816775276e-08,3.8825741008539065e-08,-2.1397582681643216e-09,3.6610370067837843e-08,82.92868365217392,4.953761817004792,global_block_order,,,,,
6.0,Abstract,69,23,-5.6835879304532615e-08,5.253973926628293e-08,-2.1554867905942564e-08,3.849384585604207e-08,91.5915212028986,4.637409755041585,global_block_order,,,,,
6.0,Concrete,38,13,-1.0455020675564388e-07,4.135156298368405e-08,-2.244008624561626e-08,4.4928575535972795e-08,96.47519860526317,7.314014203520406,global_block_order,,,,,
7.0,Abstract,69,23,1.6581037654573737e-08,4.395076225720704e-08,5.818712285681904e-08,3.0493850078113835e-08,87.97221791304347,3.813048401788891,global_block_order,,,,,
7.0,Concrete,38,13,-7.736906350912612e-08,3.7051463238202537e-08,1.880676931307947e-09,4.155964981349783e-08,100.03190294736842,8.176755997626932,global_block_order,,,,,
