participant_id,participant_folder,timestamp_raw,timestamp_iso,source_log,source_log_full_path,block,block_type_from_block,block_index_within_type,global_block_order,order_condition,trial_idx_in_block,question_id,question_year,question_field,question_number,question_type_log,t_iti,t_text_on,t_stem_on,t_options_on,t_answer,rt_from_phase_answer,option_view_time,chosen_answer_raw,answer_marker_name,n_answer_rows,n_button_click_rows,button_click_times_json,trial_notes,trial_idx_global
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A1,Abstract,1,1,AbstractFirst,1,2022_CH_51,2022,CH,51,abstract,354.170595,354.211628,423.410714,457.811284,505.005125,47.19387989999086,47.193861,A,ANS_A,1,0,[],ITI duration: 4.06s,1
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A1,Abstract,1,1,AbstractFirst,2,2022_CH_71,2022,CH,71,abstract,508.694435,508.710544,540.978507,553.459335,633.017957,79.55865849999827,79.55864,A,ANS_A,1,0,[],ITI duration: 3.15s,2
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A1,Abstract,1,1,AbstractFirst,3,2022_CH_47,2022,CH,47,abstract,637.4583,637.491758,646.283089,755.353059,814.222746,58.8697233999992,58.86971,C,ANS_C,1,0,[],ITI duration: 3.92s,3
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A2,Abstract,2,2,AbstractFirst,1,2019_CH_65,2019,CH,65,abstract,821.613601,821.63969,824.184014,894.456655,923.238447,28.781878000008874,28.781864,C,ANS_C,1,0,[],ITI duration: 4.03s,4
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A2,Abstract,2,2,AbstractFirst,2,2020_LC_31,2020,LC,31,abstract,928.078901,928.13484,935.371683,948.800926,1054.801112,106.00028429999657,106.000265,C,ANS_C,1,0,[],ITI duration: 4.33s,5
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A2,Abstract,2,2,AbstractFirst,3,2020_CH_77,2020,CH,77,abstract,1059.20818,1059.231399,1061.149899,1061.949514,1157.301826,95.35238160000881,95.352368,D,ANS_D,1,0,[],ITI duration: 3.88s,6
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A3,Abstract,3,3,AbstractFirst,1,2021_CH_51,2021,CH,51,abstract,1245.0289,1245.060439,1278.478869,1284.733687,1295.845342,11.111727499999688,11.111712,B,ANS_B,1,0,[],ITI duration: 4.40s,7
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A3,Abstract,3,3,AbstractFirst,2,2021_CH_57,2021,CH,57,abstract,1300.754147,1300.780938,1302.705005,1347.468655,1381.716918,34.24832769999921,34.248311,B,ANS_B,1,0,[],ITI duration: 4.38s,8
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A3,Abstract,3,3,AbstractFirst,3,2021_CH_86,2021,CH,86,abstract,1386.890428,1386.912722,1443.500722,1459.571741,1488.399263,28.82758380001178,28.827566,A,ANS_A,1,0,[],ITI duration: 4.66s,9
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,A4,Abstract,4,4,AbstractFirst,1,2021_CH_65,2021,CH,65,abstract,1667.278293,1667.298686,1704.743953,1712.833013,1770.003752,57.17082899999514,57.170813,B,ANS_B,1,0,[],ITI duration: 4.78s,10
