participant_id,session_id,session_folder_path,session_folder_readable,snirf_file,snirf_backup_file,psychopy_file,file_timestamp_iso,primary_raw_analysis_file,audit_backup_file,auxiliary_metadata_files,has_previous_marker_fix_backup,session_identity_ok,session_date,snirf_readable,annotation_count,duration_sec,notes,global_analysis_excluded,global_exclusion_reason
PID001,2025-11-06_008,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008.snirf,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008.snirf.bak_pre_marker_fix,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,2026-03-07T10:24:28,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008.snirf,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008.snirf.bak_pre_marker_fix,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/2025-11-06_008/2025-11-06_008_config.hdr,True,True,2025-11-06,True,181,4655.382528,Current .snirf differs from backup marker file,False,
PID002,2025-11-06_PID002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001.snirf,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001.snirf.bak_pre_marker_fix,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/enem_blocks_PID002_20251106_162601.csv,2026-03-07T10:24:28,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001.snirf,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001.snirf.bak_pre_marker_fix,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID002/2025-11-06_PID002/2025-11-06_001_config.hdr,True,True,2025-11-06,True,182,4499.767296000001,Current .snirf differs from backup marker file,False,
PID003,2025-11-11_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003/2025-11-11_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/enem_blocks_PID003_20251111_140525.csv,2025-11-11T15:20:10,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003/2025-11-11_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003/2025-11-11_003_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003/2025-11-11_003_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003/2025-11-11_003_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003/2025-11-11_003_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID003/2025-11-11_003/2025-11-11_003_config.hdr,False,True,2025-11-11,True,244,4407.754752000001,,False,
PID004,2025-11-11_004,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004/2025-11-11_004.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/enem_blocks_pid004_20251111_154532.csv,2025-11-11T16:59:30,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004/2025-11-11_004.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004/2025-11-11_004_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004/2025-11-11_004_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004/2025-11-11_004_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004/2025-11-11_004_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 11-11-25/PID004/2025-11-11_004/2025-11-11_004_config.hdr,False,True,2025-11-11,True,244,4474.601472000001,,False,
PID005,2025-11-12_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001/2025-11-12_001.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/enem_blocks_PID05_20251112_112312.csv,2025-11-12T12:37:52,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001/2025-11-12_001.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001/2025-11-12_001_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001/2025-11-12_001_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001/2025-11-12_001_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001/2025-11-12_001_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID05/2025-11-12_001/2025-11-12_001_config.hdr,False,True,2025-11-12,True,244,4505.272320000001,,False,
PID006,2025-11-12_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002/2025-11-12_002.snirf,,,2025-11-12T16:16:48,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002/2025-11-12_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002/2025-11-12_002_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002/2025-11-12_002_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002/2025-11-12_002_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002/2025-11-12_002_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_002/2025-11-12_002_config.hdr,False,True,2025-11-12,True,0,10.420224000000001,Additional session for participant; log paired to another session,True,Global downstream exclusion after Step 3 review: Excluded from Step 1 and Step 2 summaries and from future downstream analyses after Step 3 documented session 2025-11-12_002 as an implausibly short 10.420224 second recording with no paired PsychoPy log.
PID006,2025-11-12_003,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003/2025-11-12_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/enem_blocks_PID06_20251112_161827.csv,2025-11-12T17:32:38,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003/2025-11-12_003.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003/2025-11-12_003_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003/2025-11-12_003_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003/2025-11-12_003_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003/2025-11-12_003_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 12-11-25/PID06/2025-11-12_003/2025-11-12_003_config.hdr,False,True,2025-11-12,True,243,4527.783936000001,,True,Global downstream exclusion after Step 3 review: Excluded from Step 1 and Step 2 summaries and from future downstream analyses after Step 3 documented session 2025-11-12_002 as an implausibly short 10.420224 second recording with no paired PsychoPy log.
PID007,2025-11-13_001,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001/2025-11-13_001.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/enem_blocks_pid007_20251113_163330.csv,2025-11-13T17:47:48,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001/2025-11-13_001.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001/2025-11-13_001_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001/2025-11-13_001_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001/2025-11-13_001_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001/2025-11-13_001_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/2025-11-13_001/2025-11-13_001_config.hdr,False,True,2025-11-13,True,244,4481.187840000001,,False,
PID008,2025-11-14_002,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002,True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002/2025-11-14_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/enem_blocks_PID08_20251114_124523.csv,2025-11-14T13:58:36,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002/2025-11-14_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002/2025-11-14_002_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002/2025-11-14_002_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002/2025-11-14_002_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002/2025-11-14_002_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID08/2025-11-14_002/2025-11-14_002_config.hdr,False,True,2025-11-14,True,244,4426.137600000001,,False,
PID009,2025-11-14_002 (PID09),/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09),True,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09)/2025-11-14_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/enem_blocks_PID09_20251114_143701.csv,2025-11-14T16:03:30,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09)/2025-11-14_002.snirf,,/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09)/2025-11-14_002_probeInfo.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09)/2025-11-14_002_config.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09)/2025-11-14_002_description.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09)/2025-11-14_002_calibration.json;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09)/digpts.txt;/home/thiago/Documents/fnirs/simple/sessions/Sessions 14-11-25/PID09/2025-11-14_002 (PID09)/2025-11-14_002_config.hdr,False,True,2025-11-14,True,217,5208.8340480000015,,False,
