participant_id,session_id,event_order,event_type,expected_code,harmonized_event_type,event_time_psychopy,block,trial_idx_in_block,question_id,question_number,question_year,question_field,question_type,source,global_analysis_excluded,global_exclusion_reason
PID001,2025-11-06_008,1,EXP_START,1,,35.059409,START,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,2,QUESTIONNAIRE_ON,71,,158.763007,PRE,-1,,,,start,QNR,psychopy,False,
PID001,2025-11-06_008,3,QUESTIONNAIRE_OFF,72,,346.255422,PRE,-1,,,,end,QNR,psychopy,False,
PID001,2025-11-06_008,4,BLK_ON,91,block_start,350.104554,A1,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,5,ITI,99,,354.170595,A1,1,2022.0_CH_51,51,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,6,Q_TEXT_ON,11,question_start,354.211628,A1,1,2022.0_CH_51,51,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,7,Q_STEM_ON,14,,423.410714,A1,1,2022.0_CH_51,51,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,8,Q_OPTIONS_ON,15,,457.811284,A1,1,2022.0_CH_51,51,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,9,ANS_A,21,answer,505.005125,A1,1,2022.0_CH_51,51,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,10,ITI,99,,508.694435,A1,2,2022.0_CH_71,71,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,11,Q_TEXT_ON,11,question_start,508.710544,A1,2,2022.0_CH_71,71,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,12,Q_STEM_ON,14,,540.978507,A1,2,2022.0_CH_71,71,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,13,Q_OPTIONS_ON,15,,553.459335,A1,2,2022.0_CH_71,71,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,14,ANS_A,21,answer,633.017957,A1,2,2022.0_CH_71,71,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,15,ITI,99,,637.4583,A1,3,2022.0_CH_47,47,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,16,Q_TEXT_ON,11,question_start,637.491758,A1,3,2022.0_CH_47,47,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,17,Q_STEM_ON,14,,646.283089,A1,3,2022.0_CH_47,47,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,18,Q_OPTIONS_ON,15,,755.353059,A1,3,2022.0_CH_47,47,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,19,ANS_C,23,answer,814.222746,A1,3,2022.0_CH_47,47,2022.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,20,BLK_OFF,92,block_end,814.730581,A1,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,21,BLK_ON,91,block_start,817.579653,A2,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,22,ITI,99,,821.613601,A2,1,2019.0_CH_65,65,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,23,Q_TEXT_ON,11,question_start,821.63969,A2,1,2019.0_CH_65,65,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,24,Q_STEM_ON,14,,824.184014,A2,1,2019.0_CH_65,65,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,25,Q_OPTIONS_ON,15,,894.456655,A2,1,2019.0_CH_65,65,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,26,ANS_C,23,answer,923.238447,A2,1,2019.0_CH_65,65,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,27,ITI,99,,928.078901,A2,2,2020.0_LC_31,31,2020.0,LC,abstract,psychopy,False,
PID001,2025-11-06_008,28,Q_TEXT_ON,11,question_start,928.13484,A2,2,2020.0_LC_31,31,2020.0,LC,abstract,psychopy,False,
PID001,2025-11-06_008,29,Q_STEM_ON,14,,935.371683,A2,2,2020.0_LC_31,31,2020.0,LC,abstract,psychopy,False,
PID001,2025-11-06_008,30,Q_OPTIONS_ON,15,,948.800926,A2,2,2020.0_LC_31,31,2020.0,LC,abstract,psychopy,False,
PID001,2025-11-06_008,31,ANS_C,23,answer,1054.801112,A2,2,2020.0_LC_31,31,2020.0,LC,abstract,psychopy,False,
PID001,2025-11-06_008,32,ITI,99,,1059.20818,A2,3,2020.0_CH_77,77,2020.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,33,Q_TEXT_ON,11,question_start,1059.231399,A2,3,2020.0_CH_77,77,2020.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,34,Q_STEM_ON,14,,1061.149899,A2,3,2020.0_CH_77,77,2020.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,35,Q_OPTIONS_ON,15,,1061.949514,A2,3,2020.0_CH_77,77,2020.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,36,ANS_D,24,answer,1157.301826,A2,3,2020.0_CH_77,77,2020.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,37,BLOCK_REST,93,,1157.809643,A2,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,38,BLK_OFF,92,block_end,1237.59512,A2,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,39,BLK_ON,91,block_start,1240.613164,A3,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,40,ITI,99,,1245.0289,A3,1,2021.0_CH_51,51,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,41,Q_TEXT_ON,11,question_start,1245.060439,A3,1,2021.0_CH_51,51,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,42,Q_STEM_ON,14,,1278.478869,A3,1,2021.0_CH_51,51,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,43,Q_OPTIONS_ON,15,,1284.733687,A3,1,2021.0_CH_51,51,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,44,ANS_B,22,answer,1295.845342,A3,1,2021.0_CH_51,51,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,45,ITI,99,,1300.754147,A3,2,2021.0_CH_57,57,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,46,Q_TEXT_ON,11,question_start,1300.780938,A3,2,2021.0_CH_57,57,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,47,Q_STEM_ON,14,,1302.705005,A3,2,2021.0_CH_57,57,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,48,Q_OPTIONS_ON,15,,1347.468655,A3,2,2021.0_CH_57,57,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,49,ANS_B,22,answer,1381.716918,A3,2,2021.0_CH_57,57,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,50,ITI,99,,1386.890428,A3,3,2021.0_CH_86,86,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,51,Q_TEXT_ON,11,question_start,1386.912722,A3,3,2021.0_CH_86,86,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,52,Q_STEM_ON,14,,1443.500722,A3,3,2021.0_CH_86,86,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,53,Q_OPTIONS_ON,15,,1459.571741,A3,3,2021.0_CH_86,86,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,54,ANS_A,21,answer,1488.399263,A3,3,2021.0_CH_86,86,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,55,BLOCK_REST,93,,1488.907384,A3,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,56,BLK_OFF,92,block_end,1660.627962,A3,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,57,BLK_ON,91,block_start,1662.480208,A4,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,58,ITI,99,,1667.278293,A4,1,2021.0_CH_65,65,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,59,Q_TEXT_ON,11,question_start,1667.298686,A4,1,2021.0_CH_65,65,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,60,Q_STEM_ON,14,,1704.743953,A4,1,2021.0_CH_65,65,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,61,Q_OPTIONS_ON,15,,1712.833013,A4,1,2021.0_CH_65,65,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,62,ANS_B,22,answer,1770.003752,A4,1,2021.0_CH_65,65,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,63,ITI,99,,1774.528859,A4,2,2019.0_CH_64,64,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,64,Q_TEXT_ON,11,question_start,1774.569213,A4,2,2019.0_CH_64,64,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,65,Q_STEM_ON,14,,1778.652996,A4,2,2019.0_CH_64,64,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,66,Q_OPTIONS_ON,15,,1844.526489,A4,2,2019.0_CH_64,64,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,67,ANS_C,23,answer,1867.057296,A4,2,2019.0_CH_64,64,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,68,ITI,99,,1870.678846,A4,3,2020.0_CH_76,76,2020.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,69,Q_TEXT_ON,11,question_start,1870.716882,A4,3,2020.0_CH_76,76,2020.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,70,Q_STEM_ON,14,,1903.678413,A4,3,2020.0_CH_76,76,2020.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,71,Q_OPTIONS_ON,15,,1925.434244,A4,3,2020.0_CH_76,76,2020.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,72,ANS_B,22,answer,1974.455418,A4,3,2020.0_CH_76,76,2020.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,73,BLOCK_REST,93,,1974.963347,A4,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,74,BLK_OFF,92,block_end,2082.494445,A4,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,75,BLK_ON,91,block_start,2084.780811,A5,-1,,,,,,psychopy,False,
PID001,2025-11-06_008,76,ITI,99,,2088.361813,A5,1,2021.0_CH_83,83,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,77,Q_TEXT_ON,11,question_start,2088.416583,A5,1,2021.0_CH_83,83,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,78,Q_STEM_ON,14,,2148.243842,A5,1,2021.0_CH_83,83,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,79,Q_OPTIONS_ON,15,,2157.974701,A5,1,2021.0_CH_83,83,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,80,ANS_B,22,answer,2181.455205,A5,1,2021.0_CH_83,83,2021.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,81,ITI,99,,2185.279743,A5,2,2019.0_CH_56,56,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,82,Q_TEXT_ON,11,question_start,2185.317433,A5,2,2019.0_CH_56,56,2019.0,CH,abstract,psychopy,False,
PID001,2025-11-06_008,83,Q_STEM_ON,14,,2187.448069,A5,2,2019.0_CH_56,56,2019.0,CH,abstract,psychopy,False,
